Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	1000	95	96		0.2222222
2	9	Re5	D5	327	327	1	4	1000	95	96		0.4444444
3	9	Si5b4	B5b4	363	363	1	16	250	95	96		0.5
4	9	La5b4	A5b4	354	354	1	16	250	95	96		0.5555556
5	9	Sol5	G5	349	349	1	16	250	95	96		0.6111111
6	9	La5b4	A5b4	354	354	1	16	250	95	96		0.6666667
7	9	Fa5#4	F5#4	344	344	1	8	500	95	96		0.7777778
8	9	Sol5	G5	349	349	1	4	1000	95	96		1
9	9	Re5	D5	327	327	1	16	250	95	96		1.055556
10	9	Mi5b4	E5b4	332	332	1	16	250	95	96		1.111111
11	9	Re5	D5	327	327	1	16	250	95	96		1.166667
12	9	Do5	C5	318	318	1	16	250	95	96		1.222222
13	9	Re5	D5	327	327	3	32	375	95	96		1.305556
14	9	Fa5#4	F5#4	344	344	1	32	125	95	96		1.333333
15	9	Mi5b4	E5b4	332	332	1	16	250	95	96		1.388889
16	9	Re5	D5	327	327	1	16	250	95	96		1.444444
17	9	Re5	D5	327	327	1	16	250	95	96		1.5
18	9	Do5	C5	318	318	1	16	250	95	96		1.555556
19	9	Do5	C5	318	318	1	8	500	95	96		1.666667
20	9	Si4b1	B4b1	313	313	1	8	500	95	96		1.777778
21	9	Do5	C5	318	318	1	4	1000	95	96		2
22	9	Si4b1	B4b1	313	313	1	16	250	95	96		2.055556
23	9	Do5	C5	318	318	1	16	250	95	96		2.111111
24	9	Re5	D5	327	327	1	16	250	95	96		2.166667
25	9	Mi5b4	E5b4	332	332	1	16	250	95	96		2.222222
26	9	Fa5#4	F5#4	344	344	1	8	500	95	96		2.333333
27	9	Mi5b4	E5b4	332	332	1	16	250	95	96		2.388889
28	9	Re5	D5	327	327	1	16	250	95	96		2.444444
29	9	La5b4	A5b4	354	354	1	16	250	95	96		2.5
30	9	Sol5	G5	349	349	1	16	250	95	96		2.555556
31	9	Fa5#4	F5#4	344	344	1	16	250	95	96		2.611111
32	9	Mi5b4	E5b4	332	332	1	16	250	95	96		2.666667
33	9	Mi5b4	E5b4	332	332	1	16	250	95	96		2.722222
34	9	Re5	D5	327	327	1	16	250	95	96		2.777778
35	9	Re5	D5	327	327	1	4	1000	95	96		3
36	9	Fa5#4	F5#4	344	344	1	8	500	95	96		3.111111
37	9	Sol5	G5	349	349	1	8	500	95	96		3.222222
38	9	Sol5	G5	349	349	1	16	250	95	96		3.277778
39	9	La5b4	A5b4	354	354	1	16	250	95	96		3.333333
40	9	Sol5	G5	349	349	1	16	250	95	96		3.388889
41	9	Fa5#4	F5#4	344	344	1	16	250	95	96		3.444444
42	9	Mi5b4	E5b4	332	332	1	16	250	95	96		3.5
43	9	Re5	D5	327	327	1	16	250	95	96		3.555556
44	9	Do5	C5	318	318	1	8	500	95	96		3.666667
45	9	Re5	D5	327	327	1	8	500	95	96		3.777778
46	9	Mi5b4	E5b4	332	332	3	32	375	95	96		3.861111
47	9	Re5	D5	327	327	1	32	125	95	96		3.888889
48	9	Do5	C5	318	318	1	16	250	95	96		3.944444
49	9	Re5	D5	327	327	1	16	250	95	96		4
50	9	Si4b1	B4b1	313	313	1	8	500	95	96		4.111111
51	9	Do5	C5	318	318	1	8	500	95	96		4.222222
52	9	Do5	C5	318	318	1	16	250	95	96		4.277778
53	9	Re5	D5	327	327	1	16	250	95	96		4.333333
54	9	Do5	C5	318	318	1	16	250	95	96		4.388889
55	9	Si4b1	B4b1	313	313	1	16	250	95	96		4.444445
56	9	Si4b1	B4b1	313	313	1	16	250	95	96		4.5
57	9	La4b4	A4b4	301	301	1	16	250	95	96		4.555555
58	9	La4b4	A4b4	301	301	1	16	250	95	96		4.611111
59	9	Si4b1	B4b1	313	313	1	16	250	95	96		4.666667
60	9	Do5	C5	318	318	3	8	1500	95	96		5
61	9	Si4b1	B4b1	313	313	1	16	250	95	96		5.055555
