Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si5	B5	367	367	1	16	208	95	96	ARANAÐME	2.777778E-02
2	9	La5	A5	358	358	1	16	208	95	96	.	5.555556E-02
3	9	Sol5#4	G5#4	353	353	1	16	208	95	96	.	8.333334E-02
4	9	La5	A5	358	358	1	16	208	95	96	.	0.1111111
5	9	Si5	B5	367	367	1	8	417	95	96	.	0.1666667
6	9	Do6	C6	371	371	1	8	417	95	96	.	0.2222222
7	9	Si5	B5	367	367	3	16	625	95	96	.	0.3055556
8	9	Do6	C6	371	371	1	16	208	95	96	.	0.3333333
9	9	La5	A5	358	358	3	16	625	95	96	.	0.4166667
10	9	Si5	B5	367	367	1	16	208	95	96	.	0.4444444
11	9	Sol5#4	G5#4	353	353	3	16	625	95	96	.	0.5277778
12	9	La5	A5	358	358	1	16	208	95	96	.	0.5555556
13	9	Fa5	F5	340	340	3	16	625	95	96	.	0.6388889
14	9	Sol5#4	G5#4	353	353	1	16	208	95	96	.	0.6666667
15	12	Mi5	E5	336	336	3	16	625	95	96	.	0.75
16	9	Fa5	F5	340	340	1	16	208	95	96	.	0.7777778
17	23	Re5	D5	327	327	1	8	417	95	96	.	0.8333333
18	9	Mi5	E5	336	336	1	16	208	95	96	.	0.8611111
19	9	Fa5	F5	340	340	1	16	208	95	96	.	0.8888889
20	9	Mi5	E5	336	336	1	16	208	95	96	.	0.9166667
21	9	Re5	D5	327	327	1	16	208	95	96	.	0.9444444
22	9	Do5	C5	318	318	1	8	417	95	96	.	1
23	9			-1	-1	1	8	417	100	0		1.055556
24	9	Si4	B4	314	314	1	16	208	95	96	.	1.083333
25	9	Do5	C5	318	318	1	16	208	95	96	.	1.111111
26	9	Re5	D5	327	327	1	16	208	95	96	.	1.138889
27	9	Re5#4	D5#4	331	331	1	16	208	95	96	.	1.166667
28	9	Mi5	E5	336	336	1	16	208	95	96	.	1.194444
29	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	1.222222
30	9	Sol5	G5	349	349	3	16	625	95	96	.	1.305556
31	9	Fa5	F5	340	340	1	16	208	95	96	.	1.333333
32	9	Mi5	E5	336	336	1	8	417	95	96	.	1.388889
33	9	Re5	D5	327	327	1	8	417	95	96	.	1.444444
34	10	Do5	C5	318	318	1	8	417	95	96	.	1.5
35	8	Re5	D5	327	327	0	0	0	95	96	.	1.5
36	9	Do5	C5	318	318	1	16	208	95	96	.	1.527778
37	9	Si4	B4	314	314	1	16	208	95	96	.	1.555556
38	9	Do5	C5	318	318	1	16	208	95	96	.	1.583333
39	9	Si4	B4	314	314	1	16	208	95	96	.	1.611111
40	9	La4	A4	305	305	1	16	208	95	96	.	1.638889
41	9	Sol4#4	G4#4	300	300	1	16	208	95	96	.	1.666667
42	9	La4	A4	305	305	1	4	833	95	96	.	1.777778
43	9	Mi5	E5	336	336	1	8	417	95	96	.	1.833333
44	9	Fa5	F5	340	340	1	16	208	95	96	.	1.861111
45	9	Sol5#4	G5#4	353	353	1	16	208	95	96	.	1.888889
46	9	La5	A5	358	358	1	4	833	95	96	.	2
47	52			0	0	1	4	0	72	0		2.111111
48	9	Si5	B5	367	367	1	16	208	95	96	ARANAÐME	2.138889
49	9	La5	A5	358	358	1	16	208	95	96	.	2.166667
50	9	Sol5#4	G5#4	353	353	1	16	208	95	96	.	2.194444
51	9	La5	A5	358	358	1	16	208	95	96	.	2.222222
52	9	Si5	B5	367	367	1	8	417	95	96	.	2.277778
53	9	Do6	C6	371	371	1	8	417	95	96	.	2.333333
54	9	Si5	B5	367	367	3	16	625	95	96	.	2.416667
55	9	Do6	C6	371	371	1	16	208	95	96	.	2.444444
56	9	La5	A5	358	358	3	16	625	95	96	.	2.527778
57	9	Si5	B5	367	367	1	16	208	95	96	.	2.555556
58	9	Sol5#4	G5#4	353	353	3	16	625	95	96	.	2.638889
59	9	La5	A5	358	358	1	16	208	95	96	.	2.666667
60	9	Fa5	F5	340	340	3	16	625	95	96	.	2.75
61	9	Sol5#4	G5#4	353	353	1	16	208	95	96	.	2.777778
62	12	Mi5	E5	336	336	3	16	625	95	96	.	2.861111
63	9	Fa5	F5	340	340	1	16	208	95	96	.	2.888889
64	23	Re5	D5	327	327	1	8	417	95	96	.	2.944444
65	9	Mi5	E5	336	336	1	16	208	95	96	.	2.972222
66	9	Fa5	F5	340	340	1	16	208	95	96	.	3
67	9	Mi5	E5	336	336	1	16	208	95	96	.	3.027778
68	9	Re5	D5	327	327	1	16	208	95	96	.	3.055556
69	9	Do5	C5	318	318	1	8	417	95	96	.	3.111111
70	9			-1	-1	1	8	417	100	0		3.166667
71	9	Si4	B4	314	314	1	16	208	95	96	.	3.194444
72	9	Do5	C5	318	318	1	16	208	95	96	.	3.222222
73	9	Re5	D5	327	327	1	16	208	95	96	.	3.25
74	9	Re5#4	D5#4	331	331	1	16	208	95	96	.	3.277778
75	9	Mi5	E5	336	336	1	16	208	95	96	.	3.305556
76	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	3.333333
77	9	Sol5	G5	349	349	3	16	625	95	96	.	3.416667
78	9	Fa5	F5	340	340	1	16	208	95	96	.	3.444444
79	9	Mi5	E5	336	336	1	8	417	95	96	.	3.5
80	9	Re5	D5	327	327	1	8	417	95	96	.	3.555556
81	9	Do5	C5	318	318	3	16	625	95	96	.	3.638889
82	9	Si4	B4	314	314	1	16	208	95	96	.	3.666667
83	9	Do5	C5	318	318	1	16	208	95	96	.	3.694444
84	9	Si4	B4	314	314	1	16	208	95	96	.	3.722222
85	9	La4	A4	305	305	1	16	208	95	96	.	3.75
86	9	Sol4#4	G4#4	300	300	1	16	208	95	96	.	3.777778
87	9	La4	A4	305	305	3	8	1250	95	96	.	3.944444
88	9	Sol5#4	G5#4	353	353	1	16	208	95	96	.	3.972222
89	9	La5	A5	358	358	1	16	208	95	96	.	4
90	9	Sol5#4	G5#4	353	353	1	16	208	95	96	.	4.027778
91	9	Fa5	F5	340	340	1	16	208	95	96	.	4.055555
92	9	Mi5	E5	336	336	1	16	208	95	96	.	4.083333
93	9	Re5#4	D5#4	331	331	1	16	208	95	96	.	4.111111
94	9	Mi5	E5	336	336	3	32	312	99	96		4.152778
95	9	Re5#4	D5#4	331	331	1	32	104	99	96		4.166667
96	9	Mi5	E5	336	336	1	16	208	99	96		4.194445
97	9	Fa5	F5	340	340	1	16	208	99	96		4.222222
98	9	Mi5	E5	336	336	1	16	208	99	96		4.25
99	9	Re5#4	D5#4	331	331	1	16	208	99	96		4.277778
100	9	Do5	C5	318	318	1	16	208	99	96		4.305555
101	9	Re5#4	D5#4	331	331	1	16	208	99	96		4.333333
102	9	Mi5	E5	336	336	1	8	417	95	96		4.388889
103	7	Re5#4	D5#4	331	331	2	8	833	95	96	Vus	4.5
104	9	Sol5	G5	349	349	1	16	208	99	96	la	4.527778
105	11	Mi5	E5	336	336	1	16	208	95	96		4.555555
106	9	Mi5	E5	336	336	1	4	833	99	96	ta 	4.666667
107	10	Mi5	E5	336	336	1	8	417	99	114		4.722222
108	8	Fa5	F5	340	340	0	0	0	99	107		4.722222
109	9	Mi5	E5	336	336	1	16	208	99	100		4.75
110	9	Re5#4	D5#4	331	331	1	16	208	95	92		4.777778
