Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	1	8	278	95	96	ARANAÐME 	0.1111111
2	9	Re5	D5	327	327	1	8	278	95	96	.	0.2222222
3	9	Do5#4	C5#4	322	322	1	8	278	95	96	.	0.3333333
4	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	0.4444444
5	9	La4	A4	305	305	1	4	556	95	96	.	0.6666667
6	9	Mi5	E5	336	336	1	8	278	95	96	.	0.7777778
7	9	Re5	D5	327	327	1	8	278	95	96	.	0.8888889
8	9	Mi5	E5	336	336	1	8	278	95	96	.	1
9	9	Do5#4	C5#4	322	322	1	8	278	95	96	.	1.111111
10	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	1.222222
11	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	1.333333
12	9	La4	A4	305	305	1	8	278	95	96	.	1.444444
13	9	La4	A4	305	305	1	4	556	95	96	.	1.666667
14	9	La4	A4	305	305	1	8	278	95	96	.	1.777778
15	9	La4	A4	305	305	1	8	278	95	96	.	1.888889
16	9	La4	A4	305	305	1	8	278	95	96	.	2
17	52			0	0	1	8	0	127	89		2.111111
18	9	Mi5	E5	336	336	1	8	278	95	96	ARANAÐME 	2.222222
19	9	Re5	D5	327	327	1	8	278	95	96	.	2.333333
20	9	Do5#4	C5#4	322	322	1	8	278	95	96	.	2.444444
21	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	2.555556
22	9	La4	A4	305	305	1	4	556	95	96	.	2.777778
23	9	Mi5	E5	336	336	1	8	278	95	96	.	2.888889
24	9	Re5	D5	327	327	1	8	278	95	96	.	3
25	9	Mi5	E5	336	336	1	8	278	95	96	.	3.111111
26	9	Do5#4	C5#4	322	322	1	8	278	95	96	.	3.222222
27	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	3.333333
28	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	3.444444
29	9	La4	A4	305	305	1	8	278	95	96	.	3.555556
30	9	La4	A4	305	305	1	4	556	95	96	.	3.777778
31	9	La4	A4	305	305	1	8	278	95	96	.	3.888889
32	9	La4	A4	305	305	1	8	278	95	96	.	4
33	9	La4	A4	305	305	1	8	278	95	96	.	4.111111
34	9	Do5#4	C5#4	322	322	1	8	278	99	96	Ay	4.222222
35	9	Re5	D5	327	327	1	8	278	99	96		4.333333
36	9	Mi5	E5	336	336	1	8	278	95	96		4.444445
37	9	Mi5	E5	336	336	1	8	278	95	96	va 	4.555555
38	9	Mi5	E5	336	336	1	4	556	95	96	di	4.777778
39	9	Mi5	E5	336	336	1	4	556	95	96	bi 	5
40	9			-1	-1	1	8	278	100	0		5.111111
41	9	Mi5	E5	336	336	1	8	278	95	96	se	5.222222
42	9	Mi5	E5	336	336	3	8	834	95	96	rin 	5.555555
43	9	Mi5	E5	336	336	1	4	556	95	96	o	5.777778
44	9	Fa5	F5	340	340	1	8	278	99	96	lur 	5.888889
45	9	Mi5	E5	336	336	1	8	278	99	96		6
46	9	Re5	D5	327	327	1	8	278	95	96		6.111111
47	9	Fa5	F5	340	340	3	16	417	99	96	yat	6.277778
48	9	Mi5	E5	336	336	1	16	139	95	96		6.333333
49	9	Re5	D5	327	327	3	16	417	99	96	ma	6.5
50	9	Do5#4	C5#4	322	322	1	16	139	95	96		6.555555
51	9	Re5	D5	327	327	1	2	1112	95	96	ya  	7
52	9			-1	-1	1	8	278	100	0		7.111111
53	9	Do5#4	C5#4	322	322	1	8	278	99	96	Kýz	7.222222
54	9	Re5	D5	327	327	1	8	278	95	96		7.333333
55	9	Mi5	E5	336	336	1	8	278	99	96	lar 	7.444445
56	9	Mi5	E5	336	336	1	8	278	95	96		7.555555
57	9	Mi5	E5	336	336	1	4	556	95	96	ge	7.777778
58	9	Mi5	E5	336	336	1	4	556	95	96	lir 	8
59	9			-1	-1	1	8	278	100	0		8.111111
60	9	Mi5	E5	336	336	3	8	833	95	96	giz	8.444445
61	9	Mi5	E5	336	336	1	8	278	95	96	li 	8.555555
62	9	Mi5	E5	336	336	1	4	556	95	96	sak	8.777778
63	9	Fa5	F5	340	340	1	8	278	99	96	lý 	8.888889
64	9	Mi5	E5	336	336	1	8	278	99	96		9
65	9	Re5	D5	327	327	1	8	278	95	96		9.111111
66	9	Fa5	F5	340	340	3	16	417	99	96	bak	9.277778
67	9	Mi5	E5	336	336	1	16	139	95	96		9.333333
68	9	Re5	D5	327	327	3	16	417	99	96	ma	9.5
69	9	Do5#4	C5#4	322	322	1	16	139	95	96		9.555555
70	9	Re5	D5	327	327	1	2	1112	95	96	ya  	10
71	9			-1	-1	1	8	278	100	0		10.11111
72	9	Do5#4	C5#4	322	322	1	8	278	99	96	Al	10.22222
73	9	Re5	D5	327	327	1	8	278	95	96		10.33333
74	9	Mi5	E5	336	336	1	4	556	95	96	týn 	10.55556
75	9	Mi5	E5	336	336	1	4	556	95	96	is	10.77778
76	9	Mi5	E5	336	336	1	4	556	95	96	ter 	11
77	9			-1	-1	1	8	278	100	0		11.11111
78	9	Mi5	E5	336	336	1	4	556	95	96	ak 	11.33333
79	9	Mi5	E5	336	336	1	4	556	95	96	ger	11.55556
80	9	Mi5	E5	336	336	1	4	556	95	96	da	11.77778
81	9	Fa5	F5	340	340	1	8	278	99	96	na 	11.88889
82	9	Mi5	E5	336	336	1	8	278	99	96		12
83	9	Re5	D5	327	327	1	8	278	95	96		12.11111
84	9	Fa5	F5	340	340	3	16	417	99	96	tak	12.27778
85	9	Mi5	E5	336	336	1	16	139	95	96		12.33333
86	9	Re5	D5	327	327	3	16	417	99	96	ma	12.5
87	9	Do5#4	C5#4	322	322	1	16	139	95	96		12.55556
88	9	Re5	D5	327	327	1	2	1112	95	96	ya  	13
89	9			-1	-1	1	8	278	100	0		13.11111
90	9	Do5#4	C5#4	322	322	1	8	278	99	96	Al	13.22222
91	9	Re5	D5	327	327	1	8	278	95	96		13.33333
92	9	Mi5	E5	336	336	1	4	556	95	96	týn 	13.55556
93	9	Mi5	E5	336	336	1	4	556	95	96	is	13.77778
94	9	Mi5	E5	336	336	1	4	556	95	96	ter 	14
95	9			-1	-1	1	8	278	100	0		14.11111
96	9	Mi5	E5	336	336	1	4	556	95	96	ak 	14.33333
97	9	Mi5	E5	336	336	1	4	556	95	96	ger	14.55556
98	9	Mi5	E5	336	336	1	4	556	95	96	da	14.77778
99	9	Fa5	F5	340	340	1	8	278	99	96	na 	14.88889
100	9	Mi5	E5	336	336	1	8	278	99	96		15
101	9	Re5	D5	327	327	1	8	278	95	96		15.11111
102	9	Fa5	F5	340	340	3	16	417	99	96	tak	15.27778
103	9	Mi5	E5	336	336	1	16	139	95	96		15.33333
104	9	Re5	D5	327	327	3	16	417	99	96	ma	15.5
105	9	Do5#4	C5#4	322	322	1	16	139	95	96		15.55556
106	9	Re5	D5	327	327	1	8	278	99	96	ya  	15.66667
107	9	Mi5	E5	336	336	1	8	278	99	96		15.77778
108	9	Fa5#4	F5#4	344	344	1	8	278	99	96		15.88889
109	9	Sol5	G5	349	349	3	16	417	99	96		16.05556
110	9	Fa5	F5	340	340	1	16	139	95	96		16.11111
111	9	Fa5	F5	340	340	3	16	417	99	96	Yan	16.27778
112	9	Mi5	E5	336	336	1	16	139	95	96		16.33333
113	9	Re5	D5	327	327	1	16	139	99	96	dým 	16.38889
114	9	Do5#4	C5#4	322	322	1	16	139	99	96		16.44444
115	9	Si4b4	B4b4	310	310	1	8	278	95	96		16.55556
116	9	La4	A4	305	305	1	4	556	99	96	sür	16.77778
117	9	Mi5	E5	336	336	1	4	556	95	96		17
118	9	Re5	D5	327	327	1	8	278	95	96	me	17.11111
119	9	Re5	D5	327	327	1	16	139	99	96	lim 	17.16667
120	9	Do5#4	C5#4	322	322	1	16	139	99	96		17.22222
121	9	Si4b4	B4b4	310	310	1	16	139	99	96		17.27778
122	9	Do5#4	C5#4	322	322	1	16	139	95	96		17.33333
123	9	Si4b4	B4b4	310	310	1	8	278	99	96	gel 	17.44444
124	9	La4	A4	305	305	1	8	278	95	96		17.55556
125	9	La4	A4	305	305	1	2	1112	95	96	gel  	18
126	9			-1	-1	1	8	278	100	0		18.11111
127	9	Fa5	F5	340	340	3	16	417	99	96	Yan	18.27778
128	9	Mi5	E5	336	336	1	16	139	95	96		18.33333
129	9	Re5	D5	327	327	1	16	139	99	96	dým 	18.38889
130	9	Do5#4	C5#4	322	322	1	16	139	99	96		18.44444
131	9	Si4b4	B4b4	310	310	1	8	278	95	96		18.55556
132	9	La4	A4	305	305	1	4	556	99	96	sür	18.77778
133	9	Mi5	E5	336	336	1	4	556	95	96		19
134	9	Re5	D5	327	327	1	8	278	95	96	me	19.11111
135	9	Re5	D5	327	327	1	16	139	99	96	lim 	19.16667
136	9	Do5#4	C5#4	322	322	1	16	139	99	96		19.22222
137	9	Si4b4	B4b4	310	310	1	16	139	99	96		19.27778
138	9	Do5#4	C5#4	322	322	1	16	139	95	96		19.33333
139	9	Si4b4	B4b4	310	310	1	8	278	99	96	gel 	19.44444
140	9	La4	A4	305	305	1	8	278	95	96		19.55556
141	9	La4	A4	305	305	1	2	1112	95	96	gel  	20
142	9			-1	-1	1	8	278	100	0		20.11111
143	9	Mi5	E5	336	336	1	8	278	95	96	ARANAÐME 	20.22222
144	9	Re5	D5	327	327	1	8	278	95	96	.	20.33333
145	9	Do5#4	C5#4	322	322	1	8	278	95	96	.	20.44444
146	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	20.55556
147	9	La4	A4	305	305	1	4	556	95	96	.	20.77778
148	9	Mi5	E5	336	336	1	8	278	95	96	.	20.88889
149	9	Re5	D5	327	327	1	8	278	95	96	.	21
150	9	Mi5	E5	336	336	1	8	278	95	96	.	21.11111
151	9	Do5#4	C5#4	322	322	1	8	278	95	96	.	21.22222
152	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	21.33333
153	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	21.44444
154	9	La4	A4	305	305	1	8	278	95	96	.	21.55556
155	9	La4	A4	305	305	1	4	556	95	96	.	21.77778
156	9	La4	A4	305	305	1	8	278	95	96	.	21.88889
157	9	La4	A4	305	305	1	8	278	95	96	.	22
158	9	La4	A4	305	305	1	8	278	95	96	.	22.11111
159	9	Mi5	E5	336	336	1	8	278	95	96	ARANAÐME 	22.22222
160	9	Re5	D5	327	327	1	8	278	95	96	.	22.33333
161	9	Do5#4	C5#4	322	322	1	8	278	95	96	.	22.44444
162	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	22.55556
163	9	La4	A4	305	305	1	4	556	95	96	.	22.77778
164	9	Mi5	E5	336	336	1	8	278	95	96	.	22.88889
165	9	Re5	D5	327	327	1	8	278	95	96	.	23
166	9	Mi5	E5	336	336	1	8	278	95	96	.	23.11111
167	9	Do5#4	C5#4	322	322	1	8	278	95	96	.	23.22222
168	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	23.33333
169	9	Si4b4	B4b4	310	310	1	8	278	95	96	.	23.44444
170	9	La4	A4	305	305	1	8	278	95	96	.	23.55556
171	9	La4	A4	305	305	1	4	556	95	96	.	23.77778
172	9	La4	A4	305	305	1	8	278	95	96	.	23.88889
173	9	La4	A4	305	305	1	8	278	95	96	.	24
174	9	La4	A4	305	305	1	8	278	95	96	.	24.11111
175	9	Do5#4	C5#4	322	322	1	8	278	99	96	Ay	24.22222
176	9	Re5	D5	327	327	1	8	278	99	96		24.33333
177	9	Mi5	E5	336	336	1	8	278	95	96		24.44444
178	9	Mi5	E5	336	336	1	8	278	95	96	va 	24.55556
179	9	Mi5	E5	336	336	1	4	556	95	96	di	24.77778
180	9	Mi5	E5	336	336	1	4	556	95	96	bi 	25
181	9			-1	-1	1	8	278	100	0		25.11111
182	9	Mi5	E5	336	336	1	8	278	95	96	se	25.22222
183	9	Mi5	E5	336	336	3	8	834	95	96	rin 	25.55556
184	9	Mi5	E5	336	336	1	4	556	95	96	o	25.77778
185	9	Fa5	F5	340	340	1	8	278	99	96	lur 	25.88889
186	9	Mi5	E5	336	336	1	8	278	99	96		26
187	9	Re5	D5	327	327	1	8	278	95	96		26.11111
188	9	Fa5	F5	340	340	3	16	417	99	96	yat	26.27778
