Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	455	100	0		0.125
2	9	Fa5#3	F5#4	343	344	1	16	227	95	96	ARANAÐME	0.1875
3	9	Sol5	G5	349	349	1	16	227	95	96	.	0.25
4	12	Sol5	G5	349	349	1	8	455	95	96	.	0.375
5	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	0.4375
6	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	0.5
7	7	Fa5#3	F5#4	343	344	1	8	455	95	96	.	0.625
8	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	0.6875
9	9	Re5	D5	327	327	1	16	227	95	96	.	0.75
10	7	Mi5b3	E5b4	333	332	1	16	227	95	96	.	0.8125
11	9	Re5	D5	327	327	1	16	227	95	96	.	0.875
12	9	Re5	D5	327	327	1	8	455	95	96	.	1
13	9	Re5	D5	327	327	1	8	455	95	96	.	1.125
14	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	1.1875
15	9	Sol5	G5	349	349	1	16	227	95	96	.	1.25
16	12	Sol5	G5	349	349	1	8	455	95	96	.	1.375
17	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	1.4375
18	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	1.5
19	7	Fa5#3	F5#4	343	344	1	8	455	95	96	.	1.625
20	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	1.6875
21	9	Re5	D5	327	327	1	16	227	95	96	.	1.75
22	7	Mi5b3	E5b4	333	332	1	16	227	95	96	.	1.8125
23	9	Re5	D5	327	327	1	16	227	95	96	.	1.875
24	9	Re5	D5	327	327	1	8	455	95	96	.	2
25	9	Re5	D5	327	327	1	8	455	95	96	.	2.125
26	9	Do5	C5	318	318	1	16	227	95	96	.	2.1875
27	9	Re5	D5	327	327	1	16	227	95	96	.	2.25
28	9	Do5	C5	318	318	1	16	227	95	96	.	2.3125
29	9	Re5	D5	327	327	1	16	227	95	96	.	2.375
30	9	Do5	C5	318	318	1	16	227	95	96	.	2.4375
31	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	2.5
32	9	Do5	C5	318	318	1	16	227	95	96	.	2.5625
33	9	Re5	D5	327	327	1	16	227	95	96	.	2.625
34	9	Do5	C5	318	318	1	16	227	95	96	.	2.6875
35	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	2.75
36	9	Do5	C5	318	318	1	16	227	95	96	.	2.8125
37	9	Re5	D5	327	327	1	16	227	95	96	.	2.875
38	9	Do5	C5	318	318	1	16	227	95	96	.	2.9375
39	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	3
40	9	Do5	C5	318	318	1	16	227	95	96	.	3.0625
41	9	Re5	D5	327	327	1	16	227	95	96	.	3.125
42	9	Do5	C5	318	318	1	16	227	95	96	.	3.1875
43	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	3.25
44	9	Do5	C5	318	318	1	16	227	95	96	.	3.3125
45	9	Re5	D5	327	327	1	16	227	95	96	.	3.375
46	9	Do5	C5	318	318	1	16	227	95	96	.	3.4375
47	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	3.5
48	9	Mi5	E5	336	336	1	16	227	95	96	.	3.5625
49	9	Re5	D5	327	327	1	16	227	95	96	.	3.625
50	9	Re5	D5	327	327	1	16	227	95	96	.	3.6875
51	9	Do5	C5	318	318	1	16	227	95	96	.	3.75
52	9	Do5	C5	318	318	1	16	227	95	96	.	3.8125
53	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	3.875
54	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	3.9375
55	9	La4	A4	305	305	1	16	227	95	96	.	4
56	9	La4	A4	305	305	1	16	227	95	96	.	4.0625
57	7	La4	A4	305	305	1	8	455	95	96	.	4.1875
58	9	La4	A4	305	305	1	16	227	95	96	.	4.25
59	9	La4	A4	305	305	1	16	227	95	96	.	4.3125
60	9	Sol4	G4	296	296	1	16	227	95	96	.	4.375
61	9	Do5	C5	318	318	1	16	227	95	96	.	4.4375
62	9	Si4b2	B4b1	312	313	1	32	114	95	96	.	4.46875
63	9	La4	A4	305	305	1	32	114	95	96	.	4.5
64	9	La4	A4	305	305	1	16	227	95	96	.	4.5625
65	7	La4	A4	305	305	1	16	227	95	96	.	4.625
66	9	La4	A4	305	305	1	16	227	95	96	.	4.6875
