Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	2	1739	100	0		0.2222222
2	9			-1	-1	1	8	435	100	0		0.2777778
3	9	Fa5	F5	340	340	1	8	435	95	96	Dün 	0.3333333
4	9	Mi5b1	E5b1	335	335	1	8	435	95	96		0.3888889
5	9	Fa5	F5	340	340	1	8	435	95	96	ge	0.4444444
6	9	Sol5	G5	349	349	1	2	1739	95	96	ce 	0.6666667
7	9	La5	A5	358	358	1	8	435	95	96	üm	0.7222222
8	9	Si5b5	B5b5	362	362	1	8	435	95	96		0.7777778
9	9	Sol5	G5	349	349	1	4	870	95	96		0.8888889
10	9	Fa5	F5	340	340	1	4	870	95	96		1
11	9	Fa5	F5	340	340	1	8	435	95	96		1.055556
12	9	Sol5	G5	349	349	1	8	435	95	96		1.111111
13	9	Fa5	F5	340	340	1	8	435	95	96		1.166667
14	9	Mi5b1	E5b1	335	335	1	8	435	95	96		1.222222
15	9			-1	-1	1	8	435	100	0		1.277778
16	9	La5	A5	358	358	1	8	435	95	96	mid_	1.333333
17	9	Sol5	G5	349	349	1	8	435	95	96		1.388889
18	9	Sol5	G5	349	349	1	8	435	95	96	i 	1.444444
19	9	Fa5	F5	340	340	1	8	435	95	96	vus	1.5
20	9	Mi5b1	E5b1	335	335	1	8	435	95	96		1.555556
21	9	Re5	D5	327	327	1	8	435	95	96		1.611111
22	9	Do5	C5	318	318	1	8	435	95	96		1.666667
23	9	Re5	D5	327	327	1	8	435	95	96	lat	1.722222
24	9	Mi5b1	E5b1	335	335	1	8	435	95	96		1.777778
25	9	Fa5	F5	340	340	1	8	435	95	96		1.833333
26	9	Sol5	G5	349	349	1	8	435	95	96		1.888889
27	9	Mi5b1	E5b1	335	335	1	8	435	95	96		1.944444
28	9	Fa5	F5	340	340	1	8	435	95	96		2
29	9	Re5	D5	327	327	1	8	435	95	96		2.055556
30	9	Mi5b1	E5b1	335	335	1	8	435	95	96		2.111111
31	9	Do5	C5	318	318	1	4	870	95	96		2.222222
32	9			-1	-1	1	8	435	100	0		2.277778
33	9	Fa5	F5	340	340	1	4	870	95	96	la	2.388889
34	9	Sol5	G5	349	349	1	8	435	95	96		2.444444
35	9	La5	A5	358	358	3	16	652	95	96		2.527778
36	9	Sol5	G5	349	349	1	16	217	95	96		2.555556
37	9	Fa5	F5	340	340	1	8	435	95	96		2.611111
38	9	Mi5b1	E5b1	335	335	1	8	435	95	96	me	2.666667
39	9	Fa5	F5	340	340	1	8	435	95	96	lek  	2.722222
40	9	Sol5	G5	349	349	1	4	870	95	96		2.833333
41	9	Fa5	F5	340	340	1	8	435	95	96	SAZ 	2.888889
42	9	Mi5b1	E5b1	335	335	1	8	435	95	96		2.944444
43	9	Fa5	F5	340	340	1	8	435	95	96		3
44	9	Sol5	G5	349	349	1	2	1739	95	96		3.222222
45	9			-1	-1	1	8	435	100	0		3.277778
46	9	Sol5	G5	349	349	1	4	870	95	96	Pen	3.388889
47	9	Si5b5	B5b5	362	362	1	8	435	95	96	ce	3.444444
48	9	La5	A5	358	358	1	8	435	95	96	ren 	3.5
49	9	Sol5	G5	349	349	1	8	435	95	96		3.555556
50	9	Fa5	F5	340	340	1	8	435	95	96		3.611111
