Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b5	B4b5	309	309	1	4	1000	95	96	ARANAÐME	0.2222222
2	9	Mi5b5	E5b5	331	331	1	4	1000	95	96	.	0.4444444
3	9	Fa5	F5	340	340	1	16	250	95	96	.	0.5
4	9	Sol5	G5	349	349	1	16	250	95	96	.	0.5555556
5	9	La5b5	A5b5	353	353	1	16	250	95	96	.	0.6111111
6	9	Fa5	F5	340	340	1	16	250	95	96	.	0.6666667
7	9	Sol5	G5	349	349	1	4	1000	95	96	.	0.8888889
8	9	Do6	C6	371	371	1	8	500	95	96	.	1
9	9	Do6	C6	371	371	1	16	250	95	96	.	1.055556
10	9	Si5b5	B5b5	362	362	1	16	250	95	96	.	1.111111
11	9	Si5b5	B5b5	362	362	1	16	250	95	96	.	1.166667
12	9	La5b5	A5b5	353	353	1	16	250	95	96	.	1.222222
13	9	La5b5	A5b5	353	353	1	16	250	95	96	.	1.277778
14	9	Sol5	G5	349	349	1	16	250	95	96	.	1.333333
15	9	Sol5	G5	349	349	1	16	250	95	96	.	1.388889
16	9	Fa5	F5	340	340	1	16	250	95	96	.	1.444444
17	9	Fa5	F5	340	340	1	16	250	95	96	.	1.5
18	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	1.555556
19	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	1.611111
20	9	Re5	D5	327	327	1	16	250	95	96	.	1.666667
21	9	Mi5b5	E5b5	331	331	3	32	375	95	96	.	1.75
22	9	Re5	D5	327	327	1	32	125	95	96	.	1.777778
23	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	1.833333
24	9	Do5	C5	318	318	1	16	250	95	96	.	1.888889
25	9	Si4b5	B4b5	309	309	1	8	500	95	96	.	2
26	9	Si4b5	B4b5	309	309	1	4	1000	95	96	.	2.222222
27	9	Mi5b5	E5b5	331	331	1	4	1000	95	96	.	2.444444
28	9	Fa5	F5	340	340	1	16	250	95	96	.	2.5
29	9	Sol5	G5	349	349	1	16	250	95	96	.	2.555556
30	9	La5b5	A5b5	353	353	1	16	250	95	96	.	2.611111
31	9	Fa5	F5	340	340	1	16	250	95	96	.	2.666667
32	9	Sol5	G5	349	349	1	16	250	95	96	.	2.722222
33	9	Fa5	F5	340	340	1	16	250	95	96	.	2.777778
34	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	2.833333
35	9	Re5	D5	327	327	1	16	250	95	96	.	2.888889
36	9	Do5	C5	318	318	1	8	500	95	96	.	3
37	9	Si4b5	B4b5	309	309	3	32	375	95	96	.	3.083333
38	9	Do5	C5	318	318	1	32	125	95	96	.	3.111111
39	9	Re5	D5	327	327	1	16	250	95	96	.	3.166667
40	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	3.222222
41	9	Re5	D5	327	327	1	16	250	95	96	.	3.277778
42	9	Do5	C5	318	318	1	16	250	95	96	.	3.333333
43	9	Do5	C5	318	318	1	16	250	95	96	.	3.388889
44	9	Si4b5	B4b5	309	309	1	16	250	95	96	.	3.444444
45	9	Si4b5	B4b5	309	309	1	16	250	95	96	.	3.5
46	9	La4b5	A4b5	300	300	1	16	250	95	96	.	3.555556
47	9	La4b5	A4b5	300	300	1	16	250	95	96	.	3.611111
48	11	Sol4	G4	296	296	1	16	250	95	96	.	3.666667
49	9	Sol4	G4	296	296	1	4	1000	95	96	.	3.888889
50	9			-1	-1	1	8	500	100	0		4
51	52			0	0	1	8	0	120	0		4.111111
52	9	Si4b5	B4b5	309	309	1	4	1000	95	96	ARANAÐME	4.333333
53	9	Mi5b5	E5b5	331	331	1	4	1000	95	96	.	4.555555
54	9	Fa5	F5	340	340	1	16	250	95	96	.	4.611111
55	9	Sol5	G5	349	349	1	16	250	95	96	.	4.666667
56	9	La5b5	A5b5	353	353	1	16	250	95	96	.	4.722222
57	9	Fa5	F5	340	340	1	16	250	95	96	.	4.777778
58	9	Sol5	G5	349	349	1	4	1000	95	96	.	5
59	9	Do6	C6	371	371	1	8	500	95	96	.	5.111111
60	9	Do6	C6	371	371	1	16	250	95	96	.	5.166667
61	9	Si5b5	B5b5	362	362	1	16	250	95	96	.	5.222222
62	9	Si5b5	B5b5	362	362	1	16	250	95	96	.	5.277778
63	9	La5b5	A5b5	353	353	1	16	250	95	96	.	5.333333
64	9	La5b5	A5b5	353	353	1	16	250	95	96	.	5.388889
65	9	Sol5	G5	349	349	1	16	250	95	96	.	5.444445
66	9	Sol5	G5	349	349	1	16	250	95	96	.	5.5
67	9	Fa5	F5	340	340	1	16	250	95	96	.	5.555555
68	9	Fa5	F5	340	340	1	16	250	95	96	.	5.611111
69	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	5.666667
70	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	5.722222
71	9	Re5	D5	327	327	1	16	250	95	96	.	5.777778
72	9	Mi5b5	E5b5	331	331	3	32	375	95	96	.	5.861111
73	9	Re5	D5	327	327	1	32	125	95	96	.	5.888889
74	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	5.944445
75	9	Do5	C5	318	318	1	16	250	95	96	.	6
76	9	Si4b5	B4b5	309	309	1	8	500	95	96	.	6.111111
77	9	Si4b5	B4b5	309	309	1	4	1000	95	96	.	6.333333
78	9	Mi5b5	E5b5	331	331	1	4	1000	95	96	.	6.555555
79	9	Fa5	F5	340	340	1	16	250	95	96	.	6.611111
80	9	Sol5	G5	349	349	1	16	250	95	96	.	6.666667
81	9	La5b5	A5b5	353	353	1	16	250	95	96	.	6.722222
82	9	Fa5	F5	340	340	1	16	250	95	96	.	6.777778
83	9	Sol5	G5	349	349	1	16	250	95	96	.	6.833333
84	9	Fa5	F5	340	340	1	16	250	95	96	.	6.888889
85	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	6.944445
86	9	Re5	D5	327	327	1	16	250	95	96	.	7
87	9	Do5	C5	318	318	1	8	500	95	96	.	7.111111
88	9	Si4b5	B4b5	309	309	3	32	375	95	96	.	7.194445
89	9	Do5	C5	318	318	1	32	125	95	96	.	7.222222
90	9	Re5	D5	327	327	1	16	250	95	96	.	7.277778
91	9	Mi5b5	E5b5	331	331	1	16	250	95	96	.	7.333333
