Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	870	95	96	Aþ	0.4
2	9	Sol5	G5	349	349	1	16	217	99	96	kýy	0.5
3	9	La5	A5	358	358	1	16	217	99	96		0.6
4	9	Fa5	F5	340	340	1	16	217	99	96		0.7
5	9	Mi5b1	E5b1	335	335	1	16	217	99	96		0.8
6	9	Re5	D5	327	327	1	16	217	99	96		0.9
7	9	Do5	C5	318	318	1	16	217	95	96		1
8	9	Sol5	G5	349	349	1	8	435	95	96	la 	1.2
9	9	La5	A5	358	358	1	16	217	99	96	me	1.3
10	9	Sol5	G5	349	349	1	16	217	95	96		1.4
11	9	Sol5	G5	349	349	3	8	1304	95	96	ðer 	2
12	9	Si5b5	B5b5	362	362	1	16	217	99	96	aþ	2.1
13	9	La5	A5	358	358	1	16	217	99	96		2.2
14	9	Sol5	G5	349	349	1	16	217	99	96		2.3
15	9	Fa5	F5	340	340	1	16	217	99	96		2.4
16	9	Mi5b1	E5b1	335	335	1	16	217	99	96		2.5
17	9	Re5	D5	327	327	1	16	217	99	96		2.6
18	9	Do5	C5	318	318	1	16	217	99	96		2.7
19	9	Re5	D5	327	327	1	16	217	99	96		2.8
20	9	Mi5b1	E5b1	335	335	1	16	217	99	96		2.9
21	9	Fa5	F5	340	340	1	16	217	95	96		3
22	9	Sol5	G5	349	349	1	8	435	95	96	ký	3.2
23	9	La5	A5	358	358	1	16	217	99	96	ma 	3.3
24	9	Do6	C6	371	371	1	16	217	95	96		3.4
25	9	Si5b5	B5b5	362	362	3	8	1304	95	96	son 	4
26	9	Si5b5	B5b5	362	362	1	4	870	99	96	dem 	4.4
27	9	Si5b5	B5b5	362	362	3	8	1304	99	96		5
28	9	Si5b5	B5b5	362	362	1	8	435	99	96		5.2
29	9	La5	A5	358	358	1	8	435	99	96		5.4
30	9	La5	A5	358	358	1	8	435	99	96		5.6
31	9	Sol5	G5	349	349	1	8	435	99	96		5.8
32	9	Fa5	F5	340	340	1	8	435	95	96		6
33	9	Sol5	G5	349	349	1	8	435	95	96	vu	6.2
34	9	La5	A5	358	358	1	16	217	99	96	ra	6.3
35	9	Sol5	G5	349	349	1	16	217	95	96		6.4
36	9	Fa5	F5	340	340	1	8	435	99	96	cak	6.6
37	9	Mi5b4	E5b4	332	332	1	8	435	99	96		6.8
38	9	Mi5b4	E5b4	332	332	1	16	217	99	96		6.9
39	9	Re5	D5	327	327	1	16	217	95	96		7
40	9	Re5	D5	327	327	1	4	870	95	96	mýþ  	7.4
41	9	Re5	D5	327	327	1	16	217	95	96	SAZ 	7.5
42	9	Do5	C5	318	318	1	16	217	95	96	.	7.6
43	9	Si4b5	B4b5	309	309	1	16	217	95	96	.	7.7
44	9	La4b5	A4b5	300	300	1	16	217	95	96	.	7.8
45	9	Sol4	G4	296	296	1	8	435	95	96	.	8
46	52			0	0	1	8	0	127	11		8.2
47	9	Sol5	G5	349	349	1	4	870	95	96	Aþ	8.6
48	9	Sol5	G5	349	349	1	16	217	99	96	kýy	8.7
49	9	La5	A5	358	358	1	16	217	99	96		8.8
50	9	Fa5	F5	340	340	1	16	217	99	96		8.9
51	9	Mi5b1	E5b1	335	335	1	16	217	99	96		9
52	9	Re5	D5	327	327	1	16	217	99	96		9.1
53	9	Do5	C5	318	318	1	16	217	95	96		9.2
54	9	Sol5	G5	349	349	1	8	435	95	96	la 	9.4
55	9	La5	A5	358	358	1	16	217	99	96	me	9.5
56	9	Sol5	G5	349	349	1	16	217	95	96		9.6
57	9	Sol5	G5	349	349	3	8	1304	95	96	ðer 	10.2
58	9	Si5b5	B5b5	362	362	1	16	217	99	96	aþ	10.3
59	9	La5	A5	358	358	1	16	217	99	96		10.4
60	9	Sol5	G5	349	349	1	16	217	99	96		10.5
61	9	Fa5	F5	340	340	1	16	217	99	96		10.6
62	9	Mi5b1	E5b1	335	335	1	16	217	99	96		10.7
63	9	Re5	D5	327	327	1	16	217	99	96		10.8
64	9	Do5	C5	318	318	1	16	217	99	96		10.9
65	9	Re5	D5	327	327	1	16	217	99	96		11
66	9	Mi5b1	E5b1	335	335	1	16	217	99	96		11.1
67	9	Fa5	F5	340	340	1	16	217	95	96		11.2
68	9	Sol5	G5	349	349	1	8	435	95	96	ký	11.4
69	9	La5	A5	358	358	1	16	217	99	96	ma 	11.5
70	9	Do6	C6	371	371	1	16	217	95	96		11.6
71	9	Si5b5	B5b5	362	362	3	8	1304	95	96	son 	12.2
72	9	Si5b5	B5b5	362	362	1	4	870	99	96	dem 	12.6
73	9	Si5b5	B5b5	362	362	3	8	1304	99	96		13.2
74	9	Si5b5	B5b5	362	362	1	8	435	99	96		13.4
75	9	La5	A5	358	358	1	8	435	99	96		13.6
76	9	La5	A5	358	358	1	8	435	99	96		13.8
77	9	Sol5	G5	349	349	1	8	435	99	96		14
78	9	Fa5	F5	340	340	1	8	435	95	96		14.2
79	9	Sol5	G5	349	349	1	8	435	95	96	vu	14.4
80	9	La5	A5	358	358	1	16	217	99	96	ra	14.5
81	9	Sol5	G5	349	349	1	16	217	95	96		14.6
82	9	Fa5	F5	340	340	1	8	435	99	96	cak	14.8
83	9	Mi5b4	E5b4	332	332	1	8	435	99	96		15
84	9	Mi5b4	E5b4	332	332	1	16	217	99	96		15.1
85	9	Re5	D5	327	327	1	16	217	95	96		15.2
86	9	Re5	D5	327	327	1	4	870	95	96	mýþ  	15.6
87	9	Do5	C5	318	318	1	16	217	95	96	SAZ 	15.7
88	9	Re5	D5	327	327	1	16	217	95	96	.	15.8
89	9	Mi5b5	E5b5	331	331	1	16	217	95	96	.	15.9
90	9	Fa5	F5	340	340	1	16	217	95	96	.	16
91	9	Sol5	G5	349	349	1	8	435	95	96		16.2
92	9	Fa5	F5	340	340	3	16	652	99	96	Gün	16.5
93	9	Sol5	G5	349	349	1	16	217	95	96		16.6
94	9	Sol5	G5	349	349	1	4	870	99	96	ler 	17
95	9	Fa5	F5	340	340	1	8	435	95	96		17.2
96	9	Do6	C6	371	371	1	8	435	95	96	ge	17.4
97	9	Si5b5	B5b5	362	362	1	16	217	99	96	le	17.5
98	9	La5b5	A5b5	353	353	1	16	217	95	96		17.6
99	9	Sol5	G5	349	349	1	16	217	99	96	cek 	17.7
100	9	Fa5	F5	340	340	1	16	217	99	96		17.8
101	9	Mi5b5	E5b5	331	331	1	16	217	99	96		17.9
102	9	Re5	D5	327	327	1	16	217	99	96		18
103	9	Do5	C5	318	318	1	8	435	95	96		18.2
104	9	Re5	D5	327	327	1	8	435	99	96	gül	18.4
105	9	Mi5b5	E5b5	331	331	1	8	435	99	96		18.6
106	9	Sol5	G5	349	349	1	8	435	99	96		18.8
107	9	Fa5	F5	340	340	1	8	435	99	96		19
108	9	Mi5b5	E5b5	331	331	1	8	435	95	96		19.2
109	9	Re5	D5	327	327	1	8	435	95	96	le	19.4
110	9	Re5	D5	327	327	1	16	217	99	96	re 	19.5
111	9	Do5	C5	318	318	1	16	217	95	96		19.6
112	9	Do5	C5	318	318	3	8	1304	95	96	bül	20.2
113	9	Si4b5	B4b5	309	309	1	16	217	99	96	bül 	20.3
114	9	La4b5	A4b5	300	300	1	16	217	99	96		20.4
115	9	La4b5	A4b5	300	300	1	16	217	99	96		20.5
116	9	Sol4	G4	296	296	1	16	217	99	96		20.6
117	9	Sol4	G4	296	296	1	4	870	99	96		21
118	9	Sol5	G5	349	349	1	8	435	99	96		21.2
119	9	Fa5	F5	340	340	1	16	217	99	96		21.3
120	9	Mi5b5	E5b5	331	331	1	16	217	99	96		21.4
121	9	Re5	D5	327	327	1	16	217	99	96		21.5
122	9	Do5	C5	318	318	1	16	217	99	96		21.6
123	9	Si4b5	B4b5	309	309	1	16	217	99	96		21.7
124	9	La4b5	A4b5	300	300	1	16	217	99	96		21.8
125	9	La4b5	A4b5	300	300	1	16	217	99	96		21.9
126	9	Sol4	G4	296	296	1	16	217	99	96		22
127	9	Sol4	G4	296	296	1	8	435	95	96		22.2
128	9	Fa4	F4	287	287	1	8	435	95	96	ko	22.4
129	9	Fa4	F4	287	287	1	8	435	95	96	na	22.6
130	9	Si4b5	B4b5	309	309	1	8	435	99	96	cak	22.8
131	9	La4b5	A4b5	300	300	1	8	435	99	96		23
132	9	La4b5	A4b5	300	300	1	16	217	99	96		23.1
133	9	Sol4	G4	296	296	1	16	217	95	96		23.2
134	9	Sol4	G4	296	296	1	4	870	95	96	mýþ  	23.6
135	9	Do5	C5	318	318	1	16	217	95	96	SAZ 	23.7
136	9	Re5	D5	327	327	1	16	217	95	96		23.8
137	9	Mi5b5	E5b5	331	331	1	16	217	95	96		23.9
138	9	Fa5	F5	340	340	1	16	217	95	96		24
139	9	Sol5	G5	349	349	1	8	435	95	96		24.2
140	9	Fa5	F5	340	340	3	16	652	99	96	Gün	24.5
141	9	Sol5	G5	349	349	1	16	217	95	96		24.6
142	9	Sol5	G5	349	349	1	4	870	99	96	ler 	25
143	9	Fa5	F5	340	340	1	8	435	95	96		25.2
144	9	Do6	C6	371	371	1	8	435	95	96	ge	25.4
145	9	Si5b5	B5b5	362	362	1	16	217	99	96	le	25.5
146	9	La5b5	A5b5	353	353	1	16	217	95	96		25.6
147	9	Sol5	G5	349	349	1	16	217	99	96	cek 	25.7
148	9	Fa5	F5	340	340	1	16	217	99	96		25.8
149	9	Mi5b5	E5b5	331	331	1	16	217	99	96		25.9
150	9	Re5	D5	327	327	1	16	217	99	96		26
151	9	Do5	C5	318	318	1	8	435	95	96		26.2
152	9	Re5	D5	327	327	1	8	435	99	96	gül	26.4
