Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	Sol5	G5	349	349	1	4	800	50	96	.	0.2222222
2	9	Mi5	E5	336	336	1	8	400	95	96	Na	0.3333333
3	9	Fa5#5	F5#5	345	345	1	8	400	95	96	zar_	0.4444444
4	9	Sol5	G5	349	349	1	4	800	95	96	et	0.6666667
5	9	La5	A5	358	358	3	8	1200	95	96	ti 	1
6	9	Sol5	G5	349	349	1	4	800	95	96	ba	1.222222
7	9	Do6	C6	371	371	1	8	400	99	96	zý 	1.333333
8	9	Si5	B5	367	367	1	16	200	99	96		1.388889
9	9	La5	A5	358	358	1	16	200	95	96		1.444444
10	9	La5	A5	358	358	1	16	200	99	96	yâ	1.5
11	9	Sol5	G5	349	349	1	16	200	99	96		1.555556
12	9	Sol5	G5	349	349	1	16	200	99	96		1.611111
13	9	Fa5#5	F5#5	345	345	1	16	200	95	96		1.666667
14	9	Sol5	G5	349	349	1	4	800	99	96	rân  	1.888889
15	9	Fa5#5	F5#5	345	345	1	8	400	99	96		2
16	9	Sol5	G5	349	349	1	4	800	50	96		2.222222
17	9	Sol5	G5	349	349	1	8	400	95	96	Ol 	2.333333
18	9	La5	A5	358	358	1	8	400	95	96	mað	2.444444
19	9	Sol5	G5	349	349	1	8	400	99	96	be	2.555556
20	9	Fa5#5	F5#5	345	345	1	8	400	95	96		2.666667
21	9	Mi5	E5	336	336	1	4	800	99	96	çe 	2.888889
22	9	Re5	D5	327	327	1	8	400	95	96		3
23	9	Mi5	E5	336	336	1	8	400	99	96	al	3.111111
24	9	Fa5#5	F5#5	345	345	1	8	400	99	96		3.222222
25	9	Mi5	E5	336	336	1	8	400	99	96		3.333333
26	9	Fa5#5	F5#5	345	345	1	8	400	95	96		3.444444
27	9	Re5	D5	327	327	1	4	800	50	96	dý 	3.666667
28	9	Fa5#5	F5#5	345	345	1	8	400	99	96	mey	3.777778
29	9	Sol5	G5	349	349	1	8	400	99	96		3.888889
30	9	La5	A5	358	358	1	8	400	95	96		4
31	8	Si5	B5	367	367	0	0	0	95	96		4
32	9	La5	A5	358	358	3	16	600	99	96	dan 	4.166667
33	9	Sol5	G5	349	349	1	16	200	99	96		4.222222
34	9	Fa5#5	F5#5	345	345	1	8	400	95	96		4.333333
35	9	Sol5	G5	349	349	1	8	400	95	96	a	4.444445
36	9	La5	A5	358	358	1	8	400	95	96	man_	4.555555
37	9	Fa5#5	F5#5	345	345	1	8	400	95	96	a	4.666667
38	9	Sol5	G5	349	349	1	4	800	99	96	man  	4.888889
39	9	Fa5#5	F5#5	345	345	1	8	400	99	96		5
40	9	Sol5	G5	349	349	1	4	800	50	96		5.222222
41	9	Fa5#5	F5#5	345	345	1	8	400	95	96	Na	5.333333
42	9	Sol5	G5	349	349	1	8	400	95	96	zar_	5.444445
43	9	La5	A5	358	358	1	8	400	99	96	et	5.555555
44	9	Si5	B5	367	367	1	8	400	95	96		5.666667
45	9	Do6	C6	371	371	1	8	400	99	96	ti 	5.777778
46	9	Si5	B5	367	367	1	8	400	99	96		5.888889
47	9	La5	A5	358	358	1	8	400	95	96		6
48	9	Fa5#5	F5#5	345	345	1	16	200	99	96	ba	6.055555
49	9	Sol5	G5	349	349	1	16	200	99	96		6.111111
50	9	La5	A5	358	358	1	8	400	95	96		6.222222
51	9	Do6	C6	371	371	1	8	400	99	96	zý 	6.333333
52	9	Si5	B5	367	367	1	16	200	99	96		6.388889
53	9	La5	A5	358	358	1	16	200	95	96		6.444445
54	9	La5	A5	358	358	1	16	200	99	96	yâ	6.5
55	9	Sol5	G5	349	349	1	16	200	99	96		6.555555
56	9	Sol5	G5	349	349	1	16	200	99	96		6.611111
57	9	Fa5#5	F5#5	345	345	1	16	200	95	96		6.666667
58	9	Sol5	G5	349	349	1	4	800	99	96	rân  	6.888889
59	9	Fa5#5	F5#5	345	345	1	8	400	99	96		7
60	9	Sol5	G5	349	349	1	4	800	50	96		7.222222
61	9	Sol5	G5	349	349	1	8	400	95	96	Ol 	7.333333
62	9	La5	A5	358	358	1	8	400	95	96	mað	7.444445
63	9	Sol5	G5	349	349	1	8	400	99	96	be	7.555555
64	9	Fa5#5	F5#5	345	345	1	8	400	95	96		7.666667
65	9	Mi5	E5	336	336	1	4	800	99	96	çe 	7.888889
66	9	Re5	D5	327	327	1	8	400	95	96		8
67	9	Mi5	E5	336	336	1	8	400	99	96	al	8.111111
68	9	Fa5#5	F5#5	345	345	1	8	400	99	96		8.222222
69	9	Mi5	E5	336	336	1	8	400	99	96		8.333333
70	9	Fa5#5	F5#5	345	345	1	8	400	95	96		8.444445
71	9	Re5	D5	327	327	1	4	800	50	96	dý 	8.666667
72	9	Fa5#5	F5#5	345	345	1	8	400	99	96	mey	8.777778
73	9	Sol5	G5	349	349	1	8	400	99	96		8.888889
74	9	La5	A5	358	358	1	8	400	95	96		9
75	8	Si5	B5	367	367	0	0	0	95	96		9
76	9	La5	A5	358	358	3	16	600	99	96	dan 	9.166667
77	9	Sol5	G5	349	349	1	16	200	99	96		9.222222
78	9	Fa5#5	F5#5	345	345	1	8	400	95	96		9.333333
79	9	Sol5	G5	349	349	1	8	400	95	96	a	9.444445
80	9	La5	A5	358	358	1	8	400	95	96	man_	9.555555
81	9	Fa5#5	F5#5	345	345	1	8	400	95	96	a	9.666667
82	9	Sol5	G5	349	349	1	4	800	99	96	man  	9.888889
83	9	Fa5#5	F5#5	345	345	1	8	400	99	96		10
84	9	Sol5	G5	349	349	1	4	800	50	96		10.22222
85	9	Sol5	G5	349	349	1	8	400	95	96	Ne 	10.33333
86	9	La5	A5	358	358	1	8	400	95	96	a	10.44444
87	9	Sol5	G5	349	349	1	8	400	99	96	yar	10.55556
88	9	Fa5#5	F5#5	345	345	1	8	400	95	96		10.66667
89	9	Mi5	E5	336	336	3	8	1200	95	96	dýr 	11
90	9	Fa5#5	F5#5	345	345	1	8	400	99	96	ma	11.11111
91	9	Mi5	E5	336	336	1	8	400	95	96		11.22222
92	9	Fa5#5	F5#5	345	345	1	8	400	99	96	lum 	11.33333
93	9	Sol5	G5	349	349	1	8	400	95	96		11.44444
94	9	Fa5#5	F5#5	345	345	1	8	400	99	96	ol	11.55556
95	9	Mi5	E5	336	336	1	16	200	99	96		11.61111
96	9	Fa5#5	F5#5	345	345	1	16	200	95	96		11.66667
97	9	Sol5	G5	349	349	1	4	800	99	96	du  	11.88889
98	9	Fa5#5	F5#5	345	345	1	16	200	99	96		11.94444
99	9	Mi5	E5	336	336	1	16	200	99	96		12
100	9	Re5	D5	327	327	3	16	600	99	96		12.16667
101	9	Do5	C5	318	318	1	16	200	95	96		12.22222
102	9	Re5	D5	327	327	1	8	400	95	96	Dam	12.33333
103	9	Mi5	E5	336	336	1	8	400	95	96	ga	12.44444
104	9	Fa5	F5	340	340	1	8	400	99	96	lan	12.55556
105	9	Mi5	E5	336	336	1	8	400	95	96		12.66667
106	9	Re5	D5	327	327	1	8	400	99	96	dý 	12.77778
107	9	Do5	C5	318	318	1	8	400	99	96		12.88889
108	9	Si4	B4	314	314	1	8	400	95	96		13
109	9	La4	A4	305	305	3	16	600	99	96	gü	13.16667
110	9	Sol4	G4	296	296	1	16	200	99	96		13.22222
111	9	La4	A4	305	305	1	8	400	99	96		13.33333
112	9	Do5	C5	318	318	1	8	400	95	96		13.44444
113	9	Si4	B4	314	314	1	8	400	99	96	müþ 	13.55556
114	9	Sol4	G4	296	296	1	8	400	95	96		13.66667
115	9	La4	A4	305	305	1	8	400	99	96	ger	13.77778
116	9	Sol4	G4	296	296	1	8	400	99	96		13.88889
117	9	Fa4#5	F4#5	292	292	1	8	400	95	96		14
118	9	Sol4	G4	296	296	1	4	800	95	96	dan  	14.22222
119	9	Fa4#5	F4#5	292	292	1	8	400	95	96	Ge	14.33333
120	9	Sol4	G4	296	296	1	8	400	95	96	çi	14.44444
121	9	La4	A4	305	305	1	8	400	99	96	lir 	14.55556
122	9	Si4	B4	314	314	1	8	400	95	96		14.66667
123	9	Do5	C5	318	318	3	8	1200	95	96	mi 	15
124	9	Do5	C5	318	318	3	16	600	99	96	þî	15.16667
125	9	Si4	B4	314	314	1	16	200	95	96		15.22222
126	9	Si4	B4	314	314	1	8	400	99	96	ve	15.33333
127	9	La4	A4	305	305	1	8	400	95	96		15.44444
128	9	La4	A4	305	305	1	4	800	95	96	kâr	15.66667
129	9	Re5	D5	327	327	1	4	800	99	96	dan  	15.88889
130	9	Do5#4	C5#4	322	322	1	8	400	99	96		16
131	9	Re5	D5	327	327	1	4	800	50	96		16.22222
132	9	Si4	B4	314	314	1	8	400	95	96	E	16.33333
133	9	Do5	C5	318	318	1	8	400	95	96	le 	16.44444
134	9	Si4	B4	314	314	3	16	600	99	96	gir	16.61111
135	9	La4	A4	305	305	1	16	200	95	96		16.66667
136	9	Sol4	G4	296	296	3	8	1200	95	96	se 	17
137	9	La4	A4	305	305	3	16	600	99	96	gü	17.16667
138	9	Sol4	G4	296	296	1	16	200	99	96		17.22222
139	9	La4	A4	305	305	1	8	400	99	96		17.33333
140	9	Do5	C5	318	318	1	8	400	95	96		17.44444
141	9	Si4	B4	314	314	1	8	400	99	96	müþ 	17.55556
142	9	Sol4	G4	296	296	1	8	400	95	96		17.66667
143	9	La4	A4	305	305	1	8	400	99	96	ger	17.77778
144	9	Sol4	G4	296	296	1	8	400	99	96		17.88889
145	9	Fa4#5	F4#5	292	292	1	8	400	95	96		18
146	9	Sol4	G4	296	296	3	16	600	95	96	dan  	18.16667
147	9	Do6	C6	371	371	1	16	200	95	96	ARANAÐME 	18.22222
148	9	Si5	B5	367	367	1	8	400	95	96	.	18.33333
149	9	La5	A5	358	358	1	8	400	95	96	.	18.44444
150	9	Sol5	G5	349	349	1	8	400	95	96	.	18.55556
151	9	Fa5#5	F5#5	345	345	1	16	200	95	96	.	18.61111
152	9	Sol5	G5	349	349	1	16	200	95	96	.	18.66667
153	9	Mi5	E5	336	336	1	4	800	95	96	.	18.88889
154	9	Re5	D5	327	327	1	8	400	95	96	.	19
155	9			-1	-1	1	8	400	100	0	.	19.11111
156	9	Re5	D5	327	327	1	16	200	95	96	.	19.16667
157	9	Mi5b4	E5b4	332	332	1	16	200	95	96	.	19.22222
158	9	Re5	D5	327	327	1	16	200	95	96	.	19.27778
159	9	Mi5b4	E5b4	332	332	1	16	200	95	96	.	19.33333
160	9	Re5	D5	327	327	1	16	200	95	96	.	19.38889
161	9	Do5	C5	318	318	1	16	200	95	96	.	19.44444
162	9	Si4	B4	314	314	1	8	400	95	96	.	19.55556
163	9	La4	A4	305	305	1	8	400	95	96	.	19.66667
164	9	Si4	B4	314	314	1	4	800	95	96	.	19.88889
165	9	Sol4	G4	296	296	1	8	400	95	96	.	20
166	9			-1	-1	1	8	400	100	0	.	20.11111
167	9	Mi5	E5	336	336	1	16	200	95	96	.	20.16667
168	9	Fa5	F5	340	340	1	16	200	95	96	.	20.22222
169	9	Mi5	E5	336	336	1	8	400	95	96	.	20.33333
170	9	Re5	D5	327	327	1	8	400	95	96	.	20.44444
171	9	Do5	C5	318	318	1	8	400	95	96	.	20.55556
172	9	Si4	B4	314	314	1	8	400	95	96	.	20.66667
173	9	Re5	D5	327	327	1	4	800	95	96	.	20.88889
174	9	Mi5	E5	336	336	1	8	400	95	96	.	21
175	9			-1	-1	1	8	400	100	0		21.11111
176	9	Re5	D5	327	327	1	16	200	95	96	.	21.16667
177	9	Do5#4	C5#4	322	322	1	16	200	95	96	.	21.22222
178	9	Re5	D5	327	327	1	16	200	95	96	.	21.27778
179	9	Do5#4	C5#4	322	322	1	16	200	95	96	.	21.33333
180	9	Si4b4	B4b4	310	310	1	16	200	95	96	.	21.38889
181	9	La4	A4	305	305	1	16	200	95	96	.	21.44444
182	9	Si4b4	B4b4	310	310	1	16	200	95	96	.	21.5
183	9	La4	A4	305	305	1	16	200	95	96	.	21.55556
184	9	Sol4	G4	296	296	1	16	200	95	96	.	21.61111
185	9	Fa4#5	F4#5	292	292	1	16	200	95	96	.	21.66667
186	9	Sol4	G4	296	296	1	4	800	95	96	.	21.88889
187	9			-1	-1	1	8	400	100	0		22
188	52			0	0	1	8	0	127	23		22.11111
189	9	Sol4	G4	296	296	3	16	600	95	96	dan  	22.27778
190	9	Do6	C6	371	371	1	16	200	95	96	ARANAÐME 	22.33333
191	9	Si5	B5	367	367	1	8	400	95	96	.	22.44444
192	9	La5	A5	358	358	1	8	400	95	96	.	22.55556
193	9	Sol5	G5	349	349	1	8	400	95	96	.	22.66667
194	9	Fa5#5	F5#5	345	345	1	16	200	95	96	.	22.72222
195	9	Sol5	G5	349	349	1	16	200	95	96	.	22.77778
196	9	Mi5	E5	336	336	1	4	800	95	96	.	23
197	9	Re5	D5	327	327	1	8	400	95	96	.	23.11111
198	9			-1	-1	1	8	400	100	0	.	23.22222
199	9	Re5	D5	327	327	1	16	200	95	96	.	23.27778
200	9	Mi5b4	E5b4	332	332	1	16	200	95	96	.	23.33333
201	9	Re5	D5	327	327	1	16	200	95	96	.	23.38889
202	9	Mi5b4	E5b4	332	332	1	16	200	95	96	.	23.44444
203	9	Re5	D5	327	327	1	16	200	95	96	.	23.5
204	9	Do5	C5	318	318	1	16	200	95	96	.	23.55556
205	9	Si4	B4	314	314	1	8	400	95	96	.	23.66667
206	9	La4	A4	305	305	1	8	400	95	96	.	23.77778
207	9	Si4	B4	314	314	1	4	800	95	96	.	24
208	9	Sol4	G4	296	296	1	8	400	95	96	.	24.11111
209	9			-1	-1	1	8	400	100	0	.	24.22222
210	9	Mi5	E5	336	336	1	16	200	95	96	.	24.27778
211	9	Fa5	F5	340	340	1	16	200	95	96	.	24.33333
212	9	Mi5	E5	336	336	1	8	400	95	96	.	24.44444
213	9	Re5	D5	327	327	1	8	400	95	96	.	24.55556
214	9	Do5	C5	318	318	1	8	400	95	96	.	24.66667
215	9	Si4	B4	314	314	1	8	400	95	96	.	24.77778
216	9	Re5	D5	327	327	1	4	800	95	96	.	25
217	9	Mi5	E5	336	336	1	8	400	95	96	.	25.11111
218	9			-1	-1	1	8	400	100	0		25.22222
219	9	Re5	D5	327	327	1	16	200	95	96	.	25.27778
220	9	Do5	C5	318	318	1	16	200	95	96	.	25.33333
221	9	Re5	D5	327	327	1	16	200	95	96	.	25.38889
222	9	Do5	C5	318	318	1	16	200	95	96	.	25.44444
223	9	Si4	B4	314	314	1	16	200	95	96	.	25.5
224	9	La4	A4	305	305	1	16	200	95	96	.	25.55556
225	9	Si4	B4	314	314	1	16	200	95	96	.	25.61111
226	9	La4	A4	305	305	1	16	200	95	96	.	25.66667
227	9	Sol4	G4	296	296	1	16	200	95	96	.	25.72222
228	9	Fa4#5	F4#5	292	292	1	16	200	95	96	.	25.77778
229	9	Sol4	G4	296	296	1	4	800	95	96	.	26
230	9	Fa5#5	F5#5	345	345	1	8	400	95	96	.	26.11111
231	1	Sol5	G5	349	349	1	4	800	50	96	.	26.33333
232	9	Mi5	E5	336	336	1	8	400	95	96	Na	26.44444
233	9	Fa5#5	F5#5	345	345	1	8	400	95	96	zar_	26.55556
234	9	Sol5	G5	349	349	1	4	800	95	96	et	26.77778
235	9	La5	A5	358	358	3	8	1200	95	96	ti 	27.11111
236	9	Sol5	G5	349	349	1	4	800	95	96	ba	27.33333
237	9	Do6	C6	371	371	1	8	400	99	96	zý 	27.44444
238	9	Si5	B5	367	367	1	16	200	99	96		27.5
239	9	La5	A5	358	358	1	16	200	95	96		27.55556
240	9	La5	A5	358	358	1	16	200	99	96	yâ	27.61111
241	9	Sol5	G5	349	349	1	16	200	99	96		27.66667
242	9	Sol5	G5	349	349	1	16	200	99	96		27.72222
243	9	Fa5#5	F5#5	345	345	1	16	200	95	96		27.77778
244	9	Sol5	G5	349	349	1	4	800	99	96	rân  	28
245	9	Fa5#5	F5#5	345	345	1	8	400	99	96		28.11111
246	9	Sol5	G5	349	349	1	4	800	50	96		28.33333
247	9	Sol5	G5	349	349	1	8	400	95	96	Ol 	28.44444
248	9	La5	A5	358	358	1	8	400	95	96	mað	28.55556
249	9	Sol5	G5	349	349	1	8	400	99	96	be	28.66667
250	9	Fa5#5	F5#5	345	345	1	8	400	95	96		28.77778
251	9	Mi5	E5	336	336	1	4	800	99	96	çe 	29
252	9	Re5	D5	327	327	1	8	400	95	96		29.11111
253	9	Mi5	E5	336	336	1	8	400	99	96	al	29.22222
254	9	Fa5#5	F5#5	345	345	1	8	400	99	96		29.33333
255	9	Mi5	E5	336	336	1	8	400	99	96		29.44444
256	9	Fa5#5	F5#5	345	345	1	8	400	95	96		29.55556
