Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	8	333	95	96	ARANAÐME	0.25
2	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	0.375
3	9	Do5	C5	318	318	1	16	167	95	96	.	0.5
4	9	Re5	D5	327	327	1	8	333	95	96	.	0.75
5	9	Re5	D5	327	327	1	8	333	95	96	.	1
6	9	Re5	D5	327	327	1	16	167	95	96	.	1.125
7	9	Mi5b3	E5b4	333	332	1	16	167	95	96	.	1.25
8	9	Mi5b3	E5b4	333	332	1	16	167	95	96	.	1.375
9	9	Re5	D5	327	327	1	16	167	95	96	.	1.5
10	9	Do5	C5	318	318	1	16	167	95	96	.	1.625
11	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	1.75
12	9	Do5	C5	318	318	1	8	333	95	96	.	2
13	9			-1	-1	1	8	333	100	0	.	2.25
14	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	2.375
15	9	Do5	C5	318	318	1	16	167	95	96	.	2.5
16	9	Re5	D5	327	327	1	8	333	95	96	.	2.75
17	9	Re5	D5	327	327	1	8	333	95	96	.	3
18	9	Re5	D5	327	327	1	16	167	95	96	.	3.125
19	9	Mi5b3	E5b4	333	332	1	16	167	95	96	.	3.25
20	9	Mi5b3	E5b4	333	332	1	16	167	95	96	.	3.375
21	9	Re5	D5	327	327	1	16	167	95	96	.	3.5
22	9	Do5	C5	318	318	1	8	333	95	96	.	3.75
23	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	3.875
24	9	Do5	C5	318	318	1	16	167	95	96	.	4
25	9			-1	-1	1	16	167	100	0	.	4.125
26	9	Sol5	G5	349	349	1	8	333	95	96	.	4.375
27	9	Sol5	G5	349	349	1	16	167	95	96	.	4.5
28	9	Sol5	G5	349	349	1	8	333	95	96	.	4.75
29	9	Sol5	G5	349	349	1	8	333	95	96	.	5
30	9	Sol5	G5	349	349	1	16	167	95	96	.	5.125
31	9	Fa5#3	F5#4	343	344	1	16	167	95	96	.	5.25
32	9	Mi5b4	E5b4	332	332	1	16	167	95	96	.	5.375
33	9	Re5	D5	327	327	1	16	167	95	96	.	5.5
34	9	Mi5b4	E5b4	332	332	1	16	167	95	96	.	5.625
35	9	Re5	D5	327	327	1	16	167	95	96	.	5.75
36	9	Do5	C5	318	318	1	8	333	95	96	.	6
37	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	6.125
38	9	Do5	C5	318	318	1	16	167	95	96	.	6.25
39	9	Re5	D5	327	327	1	8	333	95	96	.	6.5
40	9			-1	-1	1	4	667	100	0	.	7
41	9	Mi5b4	E5b4	332	332	1	16	167	95	96	.	7.125
42	9	Re5	D5	327	327	1	16	167	95	96	.	7.25
43	9	Do5	C5	318	318	1	16	167	95	96	.	7.375
44	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	7.5
45	9	Do5	C5	318	318	1	16	167	95	96	.	7.625
46	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	7.75
47	9	Do5	C5	318	318	1	16	167	95	96	.	7.875
48	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	8
49	9	Re5	D5	327	327	1	16	167	95	96	.	8.125
50	9	Do5	C5	318	318	1	16	167	95	96	.	8.25
51	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	8.375
52	9	La4	A4	305	305	1	16	167	95	96	.	8.5
53	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	8.625
54	9	La4	A4	305	305	1	16	167	95	96	.	8.75
55	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	8.875
56	9	La4	A4	305	305	1	16	167	95	96	.	9
57	9	La4	A4	305	305	1	16	167	95	96	.	9.125
58	9	Do5	C5	318	318	1	16	167	95	96	.	9.25
59	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	9.375
60	9	Do5	C5	318	318	1	16	167	95	96	.	9.5
61	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	9.625
62	9	La4	A4	305	305	3	16	500	95	96	.	10
63	9	La4	A4	305	305	3	32	250	95	96	.	10.1875
64	9	Do5	C5	318	318	1	32	83	95	96	.	10.25
65	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	10.375
66	9	La4	A4	305	305	1	16	167	95	96	.	10.5
67	9	Sol4	G4	296	296	1	16	167	95	96	.	10.625
68	9	La4	A4	305	305	1	16	167	95	96	.	10.75
69	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	10.875
70	9	Do5	C5	318	318	1	16	167	95	96	.	11
71	52			0	0	1	4	0	90	0		11.5
72	9	Re5	D5	327	327	1	8	333	95	96	ARANAÐME	11.75
73	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	11.875
74	9	Do5	C5	318	318	1	16	167	95	96	.	12
75	9	Re5	D5	327	327	1	8	333	95	96	.	12.25
76	9	Re5	D5	327	327	1	8	333	95	96	.	12.5
77	9	Re5	D5	327	327	1	16	167	95	96	.	12.625
78	9	Mi5b3	E5b4	333	332	1	16	167	95	96	.	12.75
79	9	Mi5b3	E5b4	333	332	1	16	167	95	96	.	12.875
80	9	Re5	D5	327	327	1	16	167	95	96	.	13
81	9	Do5	C5	318	318	1	16	167	95	96	.	13.125
82	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	13.25
83	9	Do5	C5	318	318	1	8	333	95	96	.	13.5
84	9			-1	-1	1	8	333	100	0	.	13.75
85	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	13.875
86	9	Do5	C5	318	318	1	16	167	95	96	.	14
87	9	Re5	D5	327	327	1	8	333	95	96	.	14.25
88	9	Re5	D5	327	327	1	8	333	95	96	.	14.5
89	9	Re5	D5	327	327	1	16	167	95	96	.	14.625
90	9	Mi5b3	E5b4	333	332	1	16	167	95	96	.	14.75
91	9	Mi5b3	E5b4	333	332	1	16	167	95	96	.	14.875
92	9	Re5	D5	327	327	1	16	167	95	96	.	15
93	9	Do5	C5	318	318	1	8	333	95	96	.	15.25
94	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	15.375
95	9	Do5	C5	318	318	1	16	167	95	96	.	15.5
96	9			-1	-1	1	16	167	100	0	.	15.625
97	9	Sol5	G5	349	349	1	8	333	95	96	.	15.875
98	9	Sol5	G5	349	349	1	16	167	95	96	.	16
99	9	Sol5	G5	349	349	1	8	333	95	96	.	16.25
100	9	Sol5	G5	349	349	1	8	333	95	96	.	16.5
101	9	Sol5	G5	349	349	1	16	167	95	96	.	16.625
102	9	Fa5#3	F5#4	343	344	1	16	167	95	96	.	16.75
103	9	Mi5b4	E5b4	332	332	1	16	167	95	96	.	16.875
104	9	Re5	D5	327	327	1	16	167	95	96	.	17
105	9	Mi5b4	E5b4	332	332	1	16	167	95	96	.	17.125
106	9	Re5	D5	327	327	1	16	167	95	96	.	17.25
107	9	Do5	C5	318	318	1	8	333	95	96	.	17.5
108	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	17.625
109	9	Do5	C5	318	318	1	16	167	95	96	.	17.75
110	9	Re5	D5	327	327	1	8	333	95	96	.	18
111	9			-1	-1	1	4	667	100	0	.	18.5
112	9	Mi5b4	E5b4	332	332	1	16	167	95	96	.	18.625
113	9	Re5	D5	327	327	1	16	167	95	96	.	18.75
114	9	Do5	C5	318	318	1	16	167	95	96	.	18.875
115	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	19
116	9	Do5	C5	318	318	1	16	167	95	96	.	19.125
117	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	19.25
118	9	Do5	C5	318	318	1	16	167	95	96	.	19.375
119	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	19.5
120	9	Re5	D5	327	327	1	16	167	95	96	.	19.625
121	9	Do5	C5	318	318	1	16	167	95	96	.	19.75
122	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	19.875
123	9	La4	A4	305	305	1	16	167	95	96	.	20
124	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	20.125
125	9	La4	A4	305	305	1	16	167	95	96	.	20.25
