Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	769	100	0		0.25
2	9	Fa5#3	F5#4	343	344	1	8	385	95	96	ARANAÐME	0.375
3	9	Sol5	G5	349	349	1	8	385	95	96	.	0.5
4	9	La5	A5	358	358	1	4	769	95	96	.	0.75
5	9	La5	A5	358	358	1	4	769	95	96	.	1
6	9	Si5b5	B5b5	362	362	3	32	288	95	96	.	1.09375
7	9	La5	A5	358	358	1	32	96	95	96	.	1.125
8	9	Sol5	G5	349	349	1	16	192	95	96	.	1.1875
9	9	La5	A5	358	358	1	16	192	95	96	.	1.25
10	9	Sol5	G5	349	349	1	4	769	95	96	.	1.5
11	9	Do6	C6	371	371	3	32	288	95	96	.	1.59375
12	9	Si5b5	B5b5	362	362	1	32	96	95	96	.	1.625
13	9	La5	A5	358	358	1	16	192	95	96	.	1.6875
14	9	Si5b5	B5b5	362	362	1	16	192	95	96	.	1.75
15	9	La5	A5	358	358	1	4	769	95	96	.	2
16	8	La5	A5	358	358	0	0	0	95	96	.	2
17	9	Mi5	E5	336	336	1	2	1538	95	96	.	2.5
18	9	Fa5	F5	340	340	1	16	192	95	96	.	2.5625
19	9	Mi5	E5	336	336	1	16	192	95	96	.	2.625
20	9	Re5	D5	327	327	1	16	192	95	96	.	2.6875
21	9	Mi5	E5	336	336	1	16	192	95	96	.	2.75
22	9	Re5	D5	327	327	1	4	769	95	96	.	3
23	9	Mi5	E5	336	336	1	16	192	95	96	.	3.0625
24	9	Re5	D5	327	327	1	16	192	95	96	.	3.125
25	9	Do5	C5	318	318	1	16	192	95	96	.	3.1875
26	9	Re5	D5	327	327	1	16	192	95	96	.	3.25
27	9	Do5	C5	318	318	3	4	2308	95	96	.	4
28	10	Do5	C5	318	318	1	8	385	95	96	.	4.125
29	8	Re5	D5	327	327	0	0	0	95	96	.	4.125
30	9	Do5	C5	318	318	1	16	192	95	96	.	4.1875
31	9	Si4b5	B4b5	309	309	1	16	192	95	96	.	4.25
32	9	La4	A4	305	305	1	8	385	95	96	.	4.375
33	9	Si4b5	B4b5	309	309	1	8	385	95	96	.	4.5
34	9	Do5	C5	318	318	1	4	769	95	96	.	4.75
35	9	Re5	D5	327	327	1	4	769	95	96	.	5
36	9	Mi5	E5	336	336	1	16	192	95	96	.	5.0625
37	9	Re5	D5	327	327	1	16	192	95	96	.	5.125
38	9	Do5	C5	318	318	3	8	1154	95	96	.	5.5
39	9	Re5	D5	327	327	1	16	192	95	96	.	5.5625
40	9	Do5	C5	318	318	1	16	192	95	96	.	5.625
41	9	Si4b5	B4b5	309	309	3	8	1154	95	96	.	6
42	9	Do5	C5	318	318	1	16	192	95	96	.	6.0625
43	9	Si4b5	B4b5	309	309	1	16	192	95	96	.	6.125
44	9	La4	A4	305	305	1	4	769	95	96	.	6.375
45	9	Do5	C5	318	318	1	8	385	95	96	.	6.5
46	9	Si4b5	B4b5	309	309	1	8	385	95	96	.	6.625
47	9	La4	A4	305	305	3	8	1154	95	96	.	7
48	9	La4	A4	305	305	3	8	1154	95	96	.	7.375
49	9	Si4b5	B4b5	309	309	1	16	192	95	96	.	7.4375
50	9	Do5	C5	318	318	1	16	192	95	96	.	7.5
51	9	Re5	D5	327	327	3	32	288	95	96	.	7.59375
52	9	Do5	C5	318	318	1	32	96	95	96	.	7.625
53	9	Re5	D5	327	327	1	16	192	95	96	.	7.6875
54	9	Mi5	E5	336	336	1	16	192	95	96	.	7.75
55	9	Fa5#3	F5#4	343	344	3	32	288	95	96	.	7.84375
56	9	Mi5	E5	336	336	1	32	96	95	96	.	7.875
57	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	7.9375
58	9	Sol5	G5	349	349	1	16	192	95	96	.	8
59	9	La5	A5	358	358	1	4	769	50	114	.	8.25
60	9	Fa5#3	F5#4	343	344	1	8	385	95	110	Yi	8.375
61	9	Sol5	G5	349	349	1	8	385	95	105	ne 	8.5
62	9	La5	A5	358	358	1	8	385	95	100	ba	8.625
63	9	La5	A5	358	358	3	8	1154	95	96	har 	9
64	9			-1	-1	1	8	385	100	92		9.125
65	9	La5	A5	358	358	1	4	769	95	87	ol	9.375
66	9	La5	A5	358	358	1	8	385	95	82	du 	9.5
67	9	La5	A5	358	358	1	4	769	95	78	coþ	9.75
68	9	Do6	C6	371	371	1	4	769	100	96	tu	10
69	9	Do6	C6	371	371	1	1	3076	99	96		11
70	9	Si5b2	B5b1	365	366	1	2	1538	99	96		11.5
71	9	La5	A5	358	358	1	2	1538	99	96		12
72	9	Mi5	E5	336	336	1	2	1538	99	96		12.5
73	9	Mi5b1	E5b1	335	335	1	8	385	99	96		12.625
74	9	Re5	D5	327	327	1	8	385	95	96		12.75
75	9	Mi5b5	E5b5	331	331	1	16	192	95	96	yü	12.8125
76	9	Re5	D5	327	327	1	16	192	95	96		12.875
77	9	Do5	C5	318	318	1	16	192	99	96	re	12.9375
78	9	Si4b1	B4b1	313	313	1	16	192	95	96		13
79	9	Do5	C5	318	318	3	4	2308	95	96	ðim  	13.75
80	9			-1	-1	1	4	769	0	0		14
81	9	Fa5#3	F5#4	343	344	1	8	385	95	96	A	14.125
82	9	Sol5	G5	349	349	3	8	1154	95	96	kar 	14.5
83	9	Sol5	G5	349	349	1	4	769	95	96	boz	14.75
84	9	Sol5	G5	349	349	1	8	385	99	96	bu	14.875
85	9	Fa5#3	F5#4	343	344	1	8	385	95	96		15
86	9	Sol5	G5	349	349	1	16	192	99	96	la	15.0625
87	9	Fa5#3	F5#4	343	344	1	16	192	95	96		15.125
88	9	Mi5	E5	336	336	3	4	2308	99	96	nýk 	15.875
89	9	Re5	D5	327	327	1	8	385	95	114		16
90	9			-1	-1	1	8	385	100	114		16.125
91	9	Sol5	G5	349	349	1	8	385	99	114	sel	16.25
92	9	Fa5#3	F5#4	343	344	1	8	385	95	114		16.375
93	9	Sol5	G5	349	349	1	8	385	95	114	li 	16.5
94	9	Fa5#3	F5#4	343	344	1	8	385	95	114	de	16.625
95	8	La5	A5	358	358	0	0	0	95	96		16.625
96	9	Sol5	G5	349	349	1	16	192	99	96	re	16.6875
97	9	Fa5#3	F5#4	343	344	1	16	192	99	96		16.75
98	9	Mi5	E5	336	336	1	4	769	95	96		17
99	9	Mi5	E5	336	336	2	4	1538	95	96	ler  	17.5
100	9			-1	-1	1	16	192	100	0		17.5625
101	1	La4	A4	305	305	1	16	192	95	96	SAZ	17.625
102	1	Si4b5	B4b5	309	309	1	16	192	95	96	.	17.6875
103	1	Do5	C5	318	318	1	16	192	95	96	.	17.75
104	9	Re5	D5	327	327	1	16	192	95	96	.	17.8125
105	9	Mi5	E5	336	336	1	16	192	95	96	.	17.875
106	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	17.9375
107	9	Sol5	G5	349	349	1	16	192	95	96	.	18
108	9	La5	A5	358	358	1	4	769	95	96	.	18.25
109	9	Fa5#3	F5#4	343	344	1	8	385	95	84	Sý	18.375
110	9	Sol5	G5	349	349	1	8	385	95	84	la 	18.5
111	9	La5	A5	358	358	1	4	769	95	96	der	18.75
112	9	La5	A5	358	358	1	8	385	99	96	di 	18.875
113	9	Sol5	G5	349	349	1	8	385	95	96		19
114	9	Sol5	G5	349	349	1	8	385	95	96	va	19.125
115	9	La5b5	A5b5	353	353	1	8	385	99	96	tan 	19.25
116	9	Sol5	G5	349	349	1	8	385	99	96		19.375
117	9	La5b5	A5b5	353	353	1	8	385	95	96		19.5
118	9	Sol5	G5	349	349	1	16	192	99	96	der	19.5625
119	9	Fa5	F5	340	340	1	16	192	99	96		19.625
120	9	Fa5	F5	340	340	1	16	192	99	96		19.6875
121	9	Mi5	E5	336	336	1	16	192	95	96		19.75
122	9	Fa5	F5	340	340	1	4	769	95	96	di 	20
123	9	Mi5	E5	336	336	1	4	769	99	108	yâr 	20.25
124	9	Re5	D5	327	327	1	4	769	99	108		20.5
125	9	Do5	C5	318	318	1	4	769	95	108		20.75
126	9	Re5	D5	327	327	1	16	192	99	96	der	20.8125
127	9	Do5	C5	318	318	1	16	192	99	96		20.875
128	9	Si4b5	B4b5	309	309	1	16	192	99	96		20.9375
129	9	La4	A4	305	305	1	16	192	95	96		21
130	9	Si4b5	B4b5	309	309	2	4	1538	95	96	di  	21.5
131	9	La4	A4	305	305	1	16	192	95	96	SAZ	21.5625
132	9	Si4b5	B4b5	309	309	1	16	192	95	96	.	21.625
133	9	Do5	C5	318	318	1	16	192	95	96	.	21.6875
134	9	La4	A4	305	305	1	16	192	95	114	.	21.75
135	9	Si4b5	B4b5	309	309	1	4	769	95	114	.	22
136	9			-1	-1	1	4	769	100	114		22.25
137	9	La4	A4	305	305	1	8	385	95	114	Ýf	22.375
138	9	Si4b5	B4b5	309	309	1	8	385	95	96	lâh_	22.5
139	9	Do5	C5	318	318	1	8	385	95	96	et	22.625
140	9	Re5	D5	327	327	3	8	1154	95	96	mez 	23
141	9	Mi5	E5	336	336	1	8	385	95	96	bu 	23.125
142	9	Do5	C5	318	318	3	8	1154	95	96	dert 	23.5
143	9	Re5	D5	327	327	1	8	385	95	96	be	23.625
144	9	Si4b5	B4b5	309	309	3	8	1154	101	96	ni 	24
145	9	Do5	C5	318	318	1	16	192	99	96	ya	24.0625
146	9	Si4b5	B4b5	309	309	1	16	192	95	96		24.125
147	9	La4	A4	305	305	7	8	2692	95	96	re	25
148	8	Si4b5	B4b5	309	309	0	0	0	95	96		25
149	9	La4	A4	305	305	2	4	1538	95	96	ler  	25.5
150	9			-1	-1	1	16	192	100	0		25.5625
151	1	La4	A4	305	305	1	16	192	95	96	SAZ	25.625
152	1	Si4b5	B4b5	309	309	1	16	192	95	96	.	25.6875
153	1	Do5	C5	318	318	1	16	192	95	96	.	25.75
154	9	Re5	D5	327	327	1	16	192	95	96	.	25.8125
155	9	Mi5	E5	336	336	1	16	192	95	96	.	25.875
156	9	Fa5#4	F5#4	344	344	1	16	192	95	96	.	25.9375
157	9	Sol5	G5	349	349	1	16	192	95	96	.	26
158	52			0	0	1	4	0	78	0		26.25
159	9	La5	A5	358	358	1	4	769	95	96	.	26.5
160	9	Fa5#3	F5#4	343	344	1	8	385	95	84	Sý	26.625
161	9	Sol5	G5	349	349	1	8	385	95	84	la 	26.75
162	9	La5	A5	358	358	1	4	769	95	96	der	27
163	9	La5	A5	358	358	1	8	385	99	96	di 	27.125
164	9	Sol5	G5	349	349	1	8	385	95	96		27.25
165	9	Sol5	G5	349	349	1	8	385	95	96	va	27.375
166	9	La5b5	A5b5	353	353	1	8	385	99	96	tan 	27.5
167	9	Sol5	G5	349	349	1	8	385	99	96		27.625
168	9	La5b5	A5b5	353	353	1	8	385	95	96		27.75
169	9	Sol5	G5	349	349	1	16	192	99	96	der	27.8125
170	9	Fa5	F5	340	340	1	16	192	99	96		27.875
171	9	Fa5	F5	340	340	1	16	192	99	96		27.9375
172	9	Mi5	E5	336	336	1	16	192	95	96		28
173	9	Fa5	F5	340	340	1	4	769	95	96	di 	28.25
174	9	Mi5	E5	336	336	1	4	769	99	108	yâr 	28.5
175	9	Re5	D5	327	327	1	4	769	99	108		28.75
176	9	Do5	C5	318	318	1	4	769	95	108		29
177	9	Re5	D5	327	327	1	16	192	99	96	der	29.0625
178	9	Do5	C5	318	318	1	16	192	99	96		29.125
179	9	Si4b5	B4b5	309	309	1	16	192	99	96		29.1875
180	9	La4	A4	305	305	1	16	192	95	96		29.25
181	9	Si4b5	B4b5	309	309	2	4	1538	95	96	di  	29.75
182	9	La4	A4	305	305	1	16	192	95	96	SAZ	29.8125
183	9	Si4b5	B4b5	309	309	1	16	192	95	96	.	29.875
184	9	Do5	C5	318	318	1	16	192	95	96	.	29.9375
185	9	La4	A4	305	305	1	16	192	95	114	.	30
186	9	Si4b5	B4b5	309	309	1	4	769	95	114	.	30.25
187	9			-1	-1	1	4	769	100	114		30.5
188	9	La4	A4	305	305	1	8	385	95	114	Ýf	30.625
189	9	Si4b5	B4b5	309	309	1	8	385	95	96	lâh_	30.75
190	9	Do5	C5	318	318	1	8	385	95	96	et	30.875
191	9	Re5	D5	327	327	3	8	1154	95	96	mez 	31.25
192	9	Mi5	E5	336	336	1	8	385	95	96	bu 	31.375
193	9	Do5	C5	318	318	3	8	1154	95	96	dert 	31.75
194	9	Re5	D5	327	327	1	8	385	95	96	be	31.875
195	9	Si4b5	B4b5	309	309	3	8	1154	101	96	ni 	32.25
196	9	Do5	C5	318	318	1	16	192	99	96	ya	32.3125
197	9	Si4b5	B4b5	309	309	1	16	192	95	96		32.375
198	9	La4	A4	305	305	7	8	2692	95	96	re	33.25
199	8	Si4b5	B4b5	309	309	0	0	0	95	96		33.25
200	9	La4	A4	305	305	1	1	3076	95	96	ler  	34.25
201	9			-1	-1	1	4	769	100	0		34.5
202	9	Fa5#3	F5#4	343	344	1	8	385	95	96	ARANAÐME	34.625
203	9	Sol5	G5	349	349	1	8	385	95	96	.	34.75
204	9	La5	A5	358	358	1	4	769	95	96	.	35
205	9	La5	A5	358	358	1	4	769	95	96	.	35.25
206	9	Si5b5	B5b5	362	362	3	32	288	95	96	.	35.34375
207	9	La5	A5	358	358	1	32	96	95	96	.	35.375
208	9	Sol5	G5	349	349	1	16	192	95	96	.	35.4375
209	9	La5	A5	358	358	1	16	192	95	96	.	35.5
210	9	Sol5	G5	349	349	1	4	769	95	96	.	35.75
211	9	Do6	C6	371	371	3	32	288	95	96	.	35.84375
212	9	Si5b5	B5b5	362	362	1	32	96	95	96	.	35.875
213	9	La5	A5	358	358	1	16	192	95	96	.	35.9375
214	9	Si5b5	B5b5	362	362	1	16	192	95	96	.	36
215	9	La5	A5	358	358	1	4	769	95	96	.	36.25
216	8	La5	A5	358	358	0	0	0	95	96	.	36.25
217	9	Mi5	E5	336	336	1	2	1538	95	96	.	36.75
218	9	Fa5	F5	340	340	1	16	192	95	96	.	36.8125
219	9	Mi5	E5	336	336	1	16	192	95	96	.	36.875
220	9	Re5	D5	327	327	1	16	192	95	96	.	36.9375
221	9	Mi5	E5	336	336	1	16	192	95	96	.	37
222	9	Re5	D5	327	327	1	4	769	95	96	.	37.25
223	9	Mi5	E5	336	336	1	16	192	95	96	.	37.3125
224	9	Re5	D5	327	327	1	16	192	95	96	.	37.375
225	9	Do5	C5	318	318	1	16	192	95	96	.	37.4375
226	9	Re5	D5	327	327	1	16	192	95	96	.	37.5
227	9	Do5	C5	318	318	3	4	2308	95	96	.	38.25
228	10	Do5	C5	318	318	1	8	385	95	96	.	38.375
229	8	Re5	D5	327	327	0	0	0	95	96	.	38.375
230	9	Do5	C5	318	318	1	16	192	95	96	.	38.4375
231	9	Si4b5	B4b5	309	309	1	16	192	95	96	.	38.5
