Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	250	100	0		0.125
2	9	Re5	D5	327	327	1	4	500	95	96	ARANAÐME 	0.375
3	9	Re5	D5	327	327	1	8	250	95	96	.	0.5
4	9	Re5	D5	327	327	1	4	500	95	96	.	0.75
5	9	Re5	D5	327	327	1	4	500	95	96	.	1
6	9			-1	-1	1	8	250	100	0		1.125
7	9	Re5	D5	327	327	1	4	500	95	96	.	1.375
8	9	Re5	D5	327	327	1	8	250	95	96	.	1.5
9	9	Re5	D5	327	327	1	4	500	95	96	.	1.75
10	9	Re5	D5	327	327	1	4	500	95	96	.	2
11	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	2.125
12	9	La4	A4	305	305	1	8	250	95	96	.	2.25
13	9	Sol4	G4	296	296	1	4	500	95	96	.	2.5
14	9			-1	-1	1	2	1000	100	0		3
15	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	3.125
16	9	La4	A4	305	305	1	8	250	95	96	.	3.25
17	9	Sol4	G4	296	296	1	4	500	95	96	.	3.5
18	9			-1	-1	1	2	1000	100	0		4
19	9			-1	-1	1	8	250	100	0		4.125
20	9	Sol5	G5	349	349	1	4	500	95	96	.	4.375
21	9	Sol5	G5	349	349	1	8	250	95	96	.	4.5
22	9	Sol5	G5	349	349	1	4	500	95	96	.	4.75
23	9	Sol5	G5	349	349	1	4	500	95	96	.	5
24	9			-1	-1	1	8	250	100	0		5.125
25	9	Sol5	G5	349	349	1	4	500	95	96	.	5.375
26	9	Sol5	G5	349	349	1	8	250	95	96	.	5.5
27	9	Sol5	G5	349	349	1	4	500	95	96	.	5.75
28	9	Sol5	G5	349	349	1	4	500	95	96	.	6
29	9	Mi5b5	E5b5	331	331	1	8	250	95	96	.	6.125
30	9	Re5	D5	327	327	1	8	250	95	96	.	6.25
31	9	Do5	C5	318	318	1	4	500	95	96	.	6.5
32	9			-1	-1	1	2	1000	100	0		7
33	9	Mi5b5	E5b5	331	331	1	8	250	95	96	.	7.125
34	9	Re5	D5	327	327	1	8	250	95	96	.	7.25
35	9	Do5	C5	318	318	1	4	500	95	96	.	7.5
36	9			-1	-1	1	2	1000	100	0		8
37	9			-1	-1	1	8	250	100	0		8.125
38	9	Fa5	F5	340	340	1	4	500	95	96	.	8.375
39	9	Sol5	G5	349	349	1	8	250	95	96	.	8.5
40	9	La5	A5	358	358	1	4	500	95	96	.	8.75
41	9	Si5b5	B5b5	362	362	1	8	250	95	96	.	8.875
42	9	La5	A5	358	358	1	8	250	95	96	.	9
43	9			-1	-1	1	8	250	100	0		9.125
44	9	Sol5	G5	349	349	1	4	500	95	96	.	9.375
45	9	Fa5	F5	340	340	1	8	250	95	96	.	9.5
46	9	Mi5b5	E5b5	331	331	1	4	500	95	96	.	9.75
47	9	Re5	D5	327	327	1	4	500	95	96	.	10
48	9	Mi5b5	E5b5	331	331	1	8	250	95	96	.	10.125
49	9	Re5	D5	327	327	1	8	250	95	96	.	10.25
50	9	Do5	C5	318	318	1	8	250	95	96	.	10.375
51	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	10.5
52	9	La4	A4	305	305	1	4	500	95	96	.	10.75
53	9			-1	-1	1	4	500	100	0		11
54	9	Mi5b5	E5b5	331	331	1	8	250	95	96	.	11.125
55	9	Re5	D5	327	327	1	8	250	95	96	.	11.25
56	9	Do5	C5	318	318	1	8	250	95	96	.	11.375
57	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	11.5
58	9	La4	A4	305	305	1	4	500	95	96	.	11.75
59	9			-1	-1	1	4	500	100	0		12
60	9			-1	-1	1	8	250	100	0		12.125
61	9	La4	A4	305	305	1	4	500	95	96	.	12.375
62	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	12.5
63	9	Do5	C5	318	318	1	4	500	95	96	.	12.75
64	9	Re5	D5	327	327	1	8	250	95	96	.	12.875
65	9	Do5	C5	318	318	1	8	250	95	96	.	13
66	9			-1	-1	1	8	250	100	0		13.125
67	9	Mi5b5	E5b5	331	331	1	4	500	95	96	.	13.375
68	9	Re5	D5	327	327	1	8	250	95	96	.	13.5
69	9	Do5	C5	318	318	1	4	500	95	96	.	13.75
70	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	13.875
71	9	La4	A4	305	305	1	8	250	95	96	.	14
72	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	14.125
73	9	La4	A4	305	305	1	8	250	95	96	.	14.25
74	9	Sol4	G4	296	296	1	8	250	95	96	.	14.375
75	9	Fa4#4	F4#4	291	291	1	8	250	95	96	.	14.5
76	9	Sol4	G4	296	296	1	2	1000	95	96	.	15
77	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	15.125
78	9	La4	A4	305	305	1	8	250	95	96	.	15.25
79	9	Sol4	G4	296	296	1	8	250	95	96	.	15.375
80	9	Fa4#4	F4#4	291	291	1	8	250	95	96	.	15.5
81	9	Sol4	G4	296	296	1	2	1000	95	96	.	16
82	52			0	0	1	8	0	127	113		16.125
83	9			-1	-1	1	8	250	100	0		16.25
84	9	Fa5	F5	340	340	1	4	500	95	96	.	16.5
85	9	Sol5	G5	349	349	1	8	250	95	96	.	16.625
86	9	La5	A5	358	358	1	4	500	95	96	.	16.875
