Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	3	32	375	95	96	ARANAÐME	0.125
2	9	Fa4#4	F4#4	291	291	1	32	125	95	96	.	0.1666667
3	9	Sol4	G4	296	296	1	16	250	95	96	.	0.25
4	9	La4	A4	305	305	1	16	250	95	96	.	0.3333333
5	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	0.4166667
6	9	Do5	C5	318	318	1	16	250	95	96	.	0.5
7	9	Re5	D5	327	327	1	16	250	95	96	.	0.5833333
8	9	Mi5	E5	336	336	1	16	250	95	96	.	0.6666667
9	9	Fa5	F5	340	340	1	16	250	95	96	.	0.75
10	9	Mi5	E5	336	336	1	16	250	95	96	.	0.8333333
11	9	Re5	D5	327	327	1	16	250	95	96	.	0.9166667
12	9	Do5	C5	318	318	1	16	250	95	96	.	1
13	9	Fa5	F5	340	340	3	32	375	95	96	.	1.125
14	9	Mi5	E5	336	336	1	32	125	95	96	.	1.166667
15	9	Re5	D5	327	327	1	16	250	95	96	.	1.25
16	9	Do5	C5	318	318	1	16	250	95	96	.	1.333333
17	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	1.416667
18	9	La4	A4	305	305	1	16	250	95	96	.	1.5
19	9	Sol4	G4	296	296	1	16	250	95	96	.	1.583333
20	9	Mi5	E5	336	336	1	16	250	95	96	.	1.666667
21	9	Re5	D5	327	327	1	4	1000	95	96	.	2
22	9	Mi5	E5	336	336	1	16	250	95	96	.	2.083333
23	9	Fa5	F5	340	340	1	16	250	95	96	.	2.166667
24	9	La5	A5	358	358	1	16	250	95	96	.	2.25
25	9	Sol5	G5	349	349	1	16	250	95	96	.	2.333333
26	9	Fa5	F5	340	340	1	16	250	95	96	.	2.416667
27	9	Mi5	E5	336	336	1	16	250	95	96	.	2.5
28	9	Fa5	F5	340	340	3	32	375	95	96	.	2.625
29	9	Mi5	E5	336	336	1	32	125	95	96	.	2.666667
30	9	Re5	D5	327	327	1	16	250	95	96	.	2.75
31	9	Mi5	E5	336	336	1	16	250	95	96	.	2.833333
32	9	Re5	D5	327	327	1	16	250	95	96	.	2.916667
33	9	Do5	C5	318	318	1	16	250	95	96	.	3
34	9	Fa5	F5	340	340	3	32	375	95	96	.	3.125
35	9	Mi5	E5	336	336	1	32	125	95	96	.	3.166667
36	9	Re5	D5	327	327	1	16	250	95	96	.	3.25
37	9	Mi5	E5	336	336	1	16	250	95	96	.	3.333333
38	9	Re5	D5	327	327	1	16	250	95	96	.	3.416667
39	9	Do5	C5	318	318	1	16	250	95	96	.	3.5
40	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.583333
41	9	La4#4	A4#4	309	309	1	16	250	95	96	.	3.666667
42	9	Si4b1	B4b1	313	313	1	4	1000	95	96	.	4
43	9	Do5	C5	318	318	3	32	375	95	96	.	4.125
44	9	Re5	D5	327	327	1	32	125	95	96	.	4.166667
45	9	Mi5	E5	336	336	1	8	500	95	96	.	4.333333
46	9	Mi5	E5	336	336	1	8	500	95	96	.	4.5
47	9	Si4b1	B4b1	313	313	3	32	375	95	96	.	4.625
48	9	Do5	C5	318	318	1	32	125	95	96	.	4.666667
49	9	Re5	D5	327	327	1	8	500	95	96	.	4.833333
50	9	Re5	D5	327	327	1	8	500	95	96	.	5
51	9	La4	A4	305	305	3	32	375	95	96	.	5.125
52	9	Si4b1	B4b1	313	313	1	32	125	95	96	.	5.166667
53	9	Do5	C5	318	318	3	32	375	95	96	.	5.291667
54	9	Si4b1	B4b1	313	313	1	32	125	95	96	.	5.333333
55	9	Si4b1	B4b1	313	313	3	32	375	95	96	.	5.458333
56	9	La4	A4	305	305	1	32	125	95	96	.	5.5
57	9	Sol4	G4	296	296	1	16	250	95	96	.	5.583333
58	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	5.666667
59	9	La4	A4	305	305	1	4	1000	95	96	.	6
