Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	667	95	96	ARANAÐME 	0.3333333
2	9	Sol4	G4	296	296	1	8	333	95	96	.	0.5
3	9	Sol4	G4	296	296	1	8	333	95	96	.	0.6666667
4	9	Sol4	G4	296	296	1	8	333	95	96	.	0.8333333
5	9			-1	-1	1	8	333	100	0	.	1
6	9	Sol4	G4	296	296	1	4	667	95	96	.	1.333333
7	9	Sol4	G4	296	296	1	8	333	95	96	.	1.5
8	9	Sol4	G4	296	296	1	8	333	50	96	.	1.666667
9	9	Sol4	G4	296	296	1	8	333	50	96	.	1.833333
10	9			-1	-1	1	8	333	100	0	.	2
11	9	Sol4	G4	296	296	1	4	667	95	96	.	2.333333
12	9	Sol4	G4	296	296	1	8	333	95	96	.	2.5
13	9	Sol4	G4	296	296	1	8	333	95	96	.	2.666667
14	9	Mi5	E5	336	336	1	8	333	95	96	.	2.833333
15	9	Re5	D5	327	327	1	8	333	95	96	.	3
16	9	Re5	D5	327	327	1	8	333	50	96	.	3.166667
17	9	Mi5	E5	336	336	1	8	333	50	96	.	3.333333
18	9	Re5	D5	327	327	1	8	333	50	96	.	3.5
19	9	Do5	C5	318	318	1	8	333	50	96	.	3.666667
20	9	Si4b1	B4b1	313	313	1	8	333	50	96	.	3.833333
21	9	La4	A4	305	305	1	8	333	50	96	.	4
22	52			0	0	1	8	0	127	53		4.166667
23	9	Sol4	G4	296	296	1	4	667	95	96	ARANAÐME 	4.5
24	9	Sol4	G4	296	296	1	8	333	95	96	.	4.666667
25	9	Sol4	G4	296	296	1	8	333	95	96	.	4.833333
26	9	Sol4	G4	296	296	1	8	333	95	96	.	5
27	9			-1	-1	1	8	333	100	0	.	5.166667
28	9	Sol4	G4	296	296	1	4	667	95	96	.	5.5
29	9	Sol4	G4	296	296	1	8	333	95	96	.	5.666667
30	9	Sol4	G4	296	296	1	8	333	50	96	.	5.833333
31	9	Sol4	G4	296	296	1	8	333	50	96	.	6
32	9			-1	-1	1	8	333	100	0	.	6.166667
33	9	Sol4	G4	296	296	1	4	667	95	96	.	6.5
34	9	Sol4	G4	296	296	1	8	333	95	96	.	6.666667
35	9	Sol4	G4	296	296	1	8	333	95	96	.	6.833333
36	9	Mi5	E5	336	336	1	8	333	95	96	.	7
37	9	Re5	D5	327	327	1	8	333	95	96	.	7.166667
38	9	Re5	D5	327	327	1	8	333	50	96	.	7.333333
39	9	Mi5	E5	336	336	1	8	333	50	96	.	7.5
40	9	Re5	D5	327	327	1	8	333	50	96	.	7.666667
41	9	Do5	C5	318	318	1	8	333	50	96	.	7.833333
42	9	Si4b1	B4b1	313	313	1	8	333	50	96	.	8
43	9	La4	A4	305	305	1	8	333	50	96	.	8.166667
44	9	Sol4	G4	296	296	1	4	667	95	96	Er	8.5
45	9	Sol4	G4	296	296	1	8	333	95	96	di 	8.666667
46	9	Sol4	G4	296	296	1	8	333	95	96	ba	8.833333
47	9	Sol4	G4	296	296	1	8	333	95	96	har 	9
48	9			-1	-1	1	8	333	100	0		9.166667
49	9	Sol4	G4	296	296	1	4	667	95	96	sar	9.5
50	9	Sol4	G4	296	296	1	8	333	95	96	dý 	9.666667
51	9	La4	A4	305	305	1	8	333	95	96	yi	9.833333
52	9	Sol4	G4	296	296	1	8	333	95	96	ne 	10
53	9			-1	-1	1	8	333	100	0		10.16667
54	9	Sol4	G4	296	296	1	4	667	95	96	neþ	10.5
55	9	Sol4	G4	296	296	1	8	333	95	96	e 	10.66667
56	9	Sol4	G4	296	296	1	8	333	95	96	ci	10.83333
57	9	Mi5	E5	336	336	3	16	500	99	96	hâ	11.08333
58	9	Re5	D5	327	327	1	16	167	95	96		11.16667
59	9	Re5	D5	327	327	1	4	667	95	96	ný 	11.5
60	9	Mi5	E5	336	336	1	8	333	95	96	a 	11.66667
61	9	Do5	C5	318	318	1	8	333	95	96	ca	11.83333
62	9	Si4b1	B4b1	313	313	1	8	333	99	96	ným  	12
63	9	La4	A4	305	305	1	8	333	95	96		12.16667
64	9	Sol4	G4	296	296	1	4	667	95	96	Eð	12.5
65	9	Sol4	G4	296	296	1	8	333	95	96	le	12.66667
66	9	Sol4	G4	296	296	1	8	333	95	96	ne	12.83333
67	9	Sol4	G4	296	296	1	8	333	95	96	lim 	13
68	9			-1	-1	1	8	333	100	0		13.16667
69	9	Sol4	G4	296	296	1	4	667	95	96	raks_	13.5
70	9	Sol4	G4	296	296	1	8	333	95	96	e	13.66667
71	9	La4	A4	305	305	1	8	333	95	96	de	13.83333
72	9	Sol4	G4	296	296	1	8	333	95	96	lim 	14
73	9			-1	-1	1	8	333	100	0		14.16667
74	9	Sol4	G4	296	296	1	4	667	95	96	lâ	14.5
75	9	Sol4	G4	296	296	1	8	333	95	96	le 	14.66667
76	9	Sol4	G4	296	296	1	8	333	95	96	za	14.83333
77	9	Mi5	E5	336	336	3	16	500	99	96	ma	15.08333
78	9	Re5	D5	327	327	1	16	167	95	96		15.16667
79	9	Re5	D5	327	327	1	4	667	95	96	ný	15.5
80	9	Si4b1	B4b1	313	313	1	8	333	95	96	SAZ	15.66667
81	9	Do5	C5	318	318	1	8	333	95	96	.	15.83333
82	9	Re5	D5	327	327	1	8	333	95	96	.	16
83	9			-1	-1	1	8	333	100	0		16.16667
84	9	Mi5	E5	336	336	1	8	333	99	96	Aç	16.33333
85	9	Re5	D5	327	327	1	8	333	95	96		16.5
86	9	Do5	C5	318	318	1	8	333	95	96	tý 	16.66667
87	9	Si4b1	B4b1	313	313	1	8	333	95	96	bu 	16.83333
88	9	La4	A4	305	305	1	8	333	99	96	dem 	17
89	9	Si4b1	B4b1	313	313	1	8	333	95	96		17.16667
90	9	Re5	D5	327	327	1	8	333	99	96	nâz_	17.33333
91	9	Do5	C5	318	318	1	8	333	95	96		17.5
92	9	Si4b1	B4b1	313	313	1	8	333	95	96	i	17.66667
93	9	La4	A4	305	305	1	8	333	95	96	le 	17.83333
94	9	La4	A4	305	305	1	4	667	95	96	gül 	18.16667
95	9	Sol4	G4	296	296	1	4	667	95	96	gon	18.5
96	9	Sol4	G4	296	296	1	8	333	95	96	ca 	18.66667
97	9	Sol4	G4	296	296	1	8	333	95	96	de	18.83333
98	9	Mi5	E5	336	336	3	16	500	99	96	hâ	19.08333
99	9	Re5	D5	327	327	1	16	167	95	96		19.16667
100	9	Re5	D5	327	327	1	8	333	95	96	ný  	19.33333
101	9	Sol4	G4	296	296	1	8	333	95	96	SAZ	19.5
102	9	La4	A4	305	305	1	8	333	95	96	.	19.66667
103	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	19.83333
104	9	Do5	C5	318	318	1	8	333	95	96	.	20
105	9	Re5	D5	327	327	1	8	333	95	96	.	20.16667
106	9	Mi5	E5	336	336	1	8	333	99	96	Din	20.33333
107	9	Re5	D5	327	327	1	8	333	95	96		20.5
108	9	Do5	C5	318	318	1	8	333	95	96	le	20.66667
109	9	Si4b1	B4b1	313	313	1	8	333	95	96	ye	20.83333
110	9	La4	A4	305	305	1	8	333	99	96	lim 	21
111	9	Si4b1	B4b1	313	313	1	8	333	95	96		21.16667
112	9	Re5	D5	327	327	1	8	333	99	96	bül	21.33333
113	9	Do5	C5	318	318	1	8	333	95	96		21.5
114	9	Si4b1	B4b1	313	313	1	8	333	95	96	bü	21.66667
115	9	La4	A4	305	305	1	8	333	95	96	lü 	21.83333
116	9	La4	A4	305	305	1	4	667	95	96	gel 	22.16667
117	9	Re4	D4	274	274	1	4	667	95	96	lâ	22.5
118	9	Re4	D4	274	274	1	8	333	95	96	le 	22.66667
119	9	Re4	D4	274	274	1	8	333	95	96	za	22.83333
120	9	Si4b1	B4b1	313	313	3	16	500	99	96	ma	23.08333
121	9	La4	A4	305	305	1	16	167	95	96		23.16667
122	9	Sol4	G4	296	296	1	4	667	95	96	ný 	23.5
123	9	Re5	D5	327	327	1	8	333	95	96	a 	23.66667
124	9	Re5	D5	327	327	1	8	333	95	96	ca 	23.83333
125	9	Re5	D5	327	327	1	4	667	95	96	ným  	24.16667
126	9	Sol4	G4	296	296	1	4	667	95	96	Fasl_	24.5
127	9	Re5	D5	327	327	1	8	333	95	96	ý 	24.66667
128	9	Re5	D5	327	327	1	8	333	95	96	ba	24.83333
129	9	Re5	D5	327	327	1	4	667	95	96	har	25.16667
130	9	Mi5	E5	336	336	1	4	667	95	96	sey	25.5
131	9	Fa5#4	F5#4	344	344	1	8	333	95	96	ri	25.66667
132	9	Sol5	G5	349	349	1	8	333	95	96	ne 	25.83333
133	9	Mi5	E5	336	336	1	4	667	95	96	çýk 	26.16667
134	9	Re5	D5	327	327	1	4	667	95	96	sen 	26.5
135	9	Do5	C5	318	318	1	8	333	95	96	bi	26.66667
136	9	Si4b1	B4b1	313	313	1	8	333	95	96	ze 	26.83333
137	9	Mi5	E5	336	336	3	16	500	99	96	gel 	27.08333
138	9	Re5	D5	327	327	1	16	167	95	96		27.16667
139	9	Re5	D5	327	327	1	4	667	95	96	de 	27.5
140	9	Mi5	E5	336	336	1	8	333	95	96	a	27.66667
141	9	Do5	C5	318	318	1	8	333	95	96	ca 	27.83333
142	9	Si4b1	B4b1	313	313	1	8	333	99	96	ným  	28
143	9	La4	A4	305	305	1	8	333	95	96		28.16667
144	9	Sol4	G4	296	296	1	4	667	95	96	Fasl_	28.5
145	9	Re5	D5	327	327	1	8	333	95	96	ý 	28.66667
146	9	Re5	D5	327	327	1	8	333	95	96	ba	28.83333
147	9	Re5	D5	327	327	1	4	667	95	96	har	29.16667
148	9	Mi5	E5	336	336	1	4	667	95	96	sey	29.5
149	9	Fa5#4	F5#4	344	344	1	8	333	95	96	ri	29.66667
150	9	Sol5	G5	349	349	1	8	333	95	96	ne 	29.83333
151	9	Mi5	E5	336	336	1	4	667	95	96	çýk 	30.16667
152	9	Re5	D5	327	327	1	4	667	95	96	sen 	30.5
153	9	Do5	C5	318	318	1	8	333	95	96	bi	30.66667
154	9	Si4b1	B4b1	313	313	1	8	333	95	96	ze 	30.83333
155	9	Mi5	E5	336	336	3	16	500	99	96	gel 	31.08333
156	9	Re5	D5	327	327	1	16	167	95	96		31.16667
157	9	Re5	D5	327	327	1	4	667	95	96	de  	31.5
158	9	Si4b1	B4b1	313	313	1	8	333	95	96	SAZ	31.66667
159	9	Do5	C5	318	318	1	8	333	95	96	.	31.83333
160	9	Re5	D5	327	327	1	8	333	95	96	.	32
161	9			-1	-1	1	8	333	100	0		32.16667
162	9	Mi5	E5	336	336	1	8	333	99	96	Gön	32.33333
163	9	Re5	D5	327	327	1	8	333	95	96		32.5
164	9	Do5	C5	318	318	1	8	333	95	96	lü	32.66667
165	9	Si4b1	B4b1	313	313	1	8	333	95	96	mü	32.83333
166	9	La4	A4	305	305	1	8	333	99	96	zü 	33
167	9	Si4b1	B4b1	313	313	1	8	333	95	96		33.16667
168	9	Re5	D5	327	327	1	8	333	99	96	þâd_	33.33333
169	9	Do5	C5	318	318	1	8	333	95	96		33.5
170	9	Si4b1	B4b1	313	313	1	8	333	95	96	e	33.66667
171	9	La4	A4	305	305	1	8	333	95	96	de	33.83333
172	9	La4	A4	305	305	1	4	667	95	96	lim 	34.16667
173	9	Sol4	G4	296	296	1	4	667	95	96	bezm_	34.5
174	9	Sol4	G4	296	296	1	8	333	95	96	i 	34.66667
175	9	Sol4	G4	296	296	1	8	333	95	96	e	34.83333
176	9	Mi5	E5	336	336	3	16	500	99	96	mel	35.08333
177	9	Re5	D5	327	327	1	16	167	95	96		35.16667
178	9	Re5	D5	327	327	1	8	333	95	96	de  	35.33333
179	9	Sol4	G4	296	296	1	8	333	95	96	SAZ	35.5
