Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi4	E4	283	283	1	8	294	95	96		0.1428571
2	9	Fa4#5	F4#5	292	292	1	8	294	95	96		0.2857143
3	9	Sol4	G4	296	296	1	4	588	95	96		0.5714286
4	9	Sol4	G4	296	296	1	8	294	95	96		0.7142857
5	9	Fa4#5	F4#5	292	292	1	8	294	95	96		0.8571429
6	9	Mi4	E4	283	283	1	8	294	95	96		1
7	9	Sol4	G4	296	296	1	8	294	95	96		1.142857
8	9	Fa4#5	F4#5	292	292	1	8	294	95	96		1.285714
9	9	Mi4	E4	283	283	1	8	294	95	96		1.428571
10	9	Re4#4	D4#4	278	278	1	8	294	95	96		1.571429
11	9	Mi4	E4	283	283	3	8	882	95	96		2
12	9	Si4	B4	314	314	1	4	588	95	96		2.285714
13	9	Mi5	E5	336	336	1	4	588	95	96		2.571429
14	9	Re5	D5	327	327	1	8	294	95	96		2.714286
15	9	Do5	C5	318	318	1	8	294	95	96		2.857143
16	9	Si4	B4	314	314	1	8	294	95	96		3
17	9	La4	A4	305	305	1	4	588	95	96		3.285714
18	9	Do5	C5	318	318	1	4	588	95	96		3.571429
19	9	Si4	B4	314	314	1	8	294	95	96		3.714286
20	9	La4	A4	305	305	1	8	294	95	96		3.857143
21	9	Sol4	G4	296	296	1	8	294	95	96		4
22	9	Fa4#5	F4#5	292	292	1	4	588	95	96		4.285714
23	9	Si4	B4	314	314	1	4	588	95	96		4.571429
24	9	Sol4	G4	296	296	1	8	294	95	96		4.714286
25	9	Fa4#5	F4#5	292	292	1	8	294	95	96		4.857143
26	9	Mi4	E4	283	283	1	8	294	95	96		5
27	9	Sol4	G4	296	296	1	8	294	95	96		5.142857
28	9	Fa4#5	F4#5	292	292	1	8	294	95	96		5.285714
29	9	Mi4	E4	283	283	1	8	294	95	96		5.428571
30	9	Re4#4	D4#4	278	278	1	8	294	95	96		5.571429
31	9	Mi4	E4	283	283	1	8	294	95	96		5.714286
32	9	Sol4	G4	296	296	1	8	294	95	96		5.857143
33	9	Si4	B4	314	314	1	8	294	95	96		6
34	9	Si4	B4	314	314	1	4	588	95	96		6.285714
35	9	Mi5	E5	336	336	1	4	588	95	96		6.571429
36	9	Re5	D5	327	327	1	8	294	95	96		6.714286
37	9	Do5	C5	318	318	1	8	294	95	96		6.857143
38	9	Si4	B4	314	314	1	8	294	95	96		7
39	9	La4	A4	305	305	1	4	588	95	96		7.285714
40	9	Do5	C5	318	318	1	4	588	95	96		7.571429
41	9	Si4	B4	314	314	1	8	294	95	96		7.714286
42	9	La4	A4	305	305	1	8	294	95	96		7.857143
43	9	Sol4	G4	296	296	1	8	294	95	96		8
44	9	Fa4#5	F4#5	292	292	1	4	588	95	96		8.285714
45	9	Si4	B4	314	314	1	4	588	95	96		8.571428
46	9	Sol4	G4	296	296	1	8	294	95	96		8.714286
47	9	Fa4#5	F4#5	292	292	1	8	294	95	96		8.857142
48	9	Mi4	E4	283	283	1	8	294	95	96		9
49	9	Sol4	G4	296	296	1	8	294	95	96		9.142858
50	9	Fa4#5	F4#5	292	292	1	8	294	95	96		9.285714
51	9	Mi4	E4	283	283	1	8	294	95	96		9.428572
52	9	Re4#4	D4#4	278	278	1	8	294	95	96		9.571428
53	9	Mi4	E4	283	283	3	8	882	95	96		10
54	9	Mi4	E4	283	283	1	8	294	95	96		10.14286
55	9	Fa4#5	F4#5	292	292	1	8	294	95	96		10.28571
56	9	Sol4	G4	296	296	1	4	588	95	96		10.57143
57	9	Fa4#5	F4#5	292	292	1	4	588	99	96		10.85714
58	9	Mi4	E4	283	283	1	8	294	95	96		11
59	9	Sol4	G4	296	296	1	8	294	99	96		11.14286
60	9	Fa4#5	F4#5	292	292	1	8	294	95	96		11.28571
61	9	Mi4	E4	283	283	1	8	294	99	96		11.42857
62	9	Re4#4	D4#4	278	278	1	8	294	95	96		11.57143
63	9	Mi4	E4	283	283	3	8	882	95	96		12
64	9	Mi4	E4	283	283	1	8	294	95	96		12.14286
65	9	Fa4#5	F4#5	292	292	1	8	294	99	96		12.28571
