Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	8	417	95	96	ARANAÐME 	0.1666667
2	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	0.3333333
3	9	Re5	D5	327	327	1	8	417	95	96	.	0.5
4	9	Mi5b4	E5b4	332	332	1	8	417	95	96	.	0.6666667
5	9	Re5	D5	327	327	1	8	417	95	96	.	0.8333333
6	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	1
7	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	1.166667
8	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	1.333333
9	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	1.5
10	9	Re5	D5	327	327	1	8	417	95	96	.	1.666667
11	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	1.833333
12	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	2
13	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	2.166667
14	9	La4	A4	305	305	1	8	417	95	96	.	2.333333
15	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	2.5
16	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	2.666667
17	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	2.833333
18	9	La4	A4	305	305	1	8	417	95	96	.	3
19	9	Mi5b4	E5b4	332	332	1	8	417	95	96	.	3.166667
20	9	Re5	D5	327	327	1	8	417	95	96	.	3.333333
21	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	3.5
22	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	3.666667
23	9	La4	A4	305	305	1	8	417	95	96	.	3.833333
24	9	Sol4	G4	296	296	1	8	417	95	96	.	4
25	52			0	0	1	8	0	127	17		4.166667
26	9	Re5	D5	327	327	1	8	417	95	96	ARANAÐME 	4.333333
27	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	4.5
28	9	Re5	D5	327	327	1	8	417	95	96	.	4.666667
29	9	Mi5b4	E5b4	332	332	1	8	417	95	96	.	4.833333
30	9	Re5	D5	327	327	1	8	417	95	96	.	5
31	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	5.166667
32	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	5.333333
33	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	5.5
34	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	5.666667
35	9	Re5	D5	327	327	1	8	417	95	96	.	5.833333
36	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	6
37	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	6.166667
38	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	6.333333
39	9	La4	A4	305	305	1	8	417	95	96	.	6.5
40	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	6.666667
41	9	Do5#4	C5#4	322	322	1	8	417	95	96	.	6.833333
42	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	7
43	9	La4	A4	305	305	1	8	417	95	96	.	7.166667
44	9	Sol4	G4	296	296	1	4	833	95	96	.	7.5
45	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	7.666667
46	9	La4	A4	305	305	3	8	1250	95	96	.	8.166667
47	9	La4	A4	305	305	1	8	417	95	96	.	8.333333
48	9	Sol4	G4	296	296	1	8	417	95	96	.	8.5
49	9	La4	A4	305	305	1	8	417	95	96	.	8.666667
50	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	8.833333
51	9	La4	A4	305	305	1	8	417	95	96	.	9
52	9	Sol4	G4	296	296	1	8	417	95	96	.	9.166667
53	9	Sol4	G4	296	296	1	8	417	95	96	.	9.333333
54	9	Fa4#4	F4#4	291	291	1	8	417	95	96	.	9.5
55	9	Sol4	G4	296	296	1	8	417	95	96	.	9.666667
56	9	La4	A4	305	305	1	8	417	95	96	.	9.833333
57	9	Sol4	G4	296	296	1	8	417	95	96	.	10
58	9	Fa4#4	F4#4	291	291	1	8	417	95	96	.	10.16667
59	9	Fa4#4	F4#4	291	291	1	8	417	95	96	.	10.33333
60	9	Mi4b4	E4b4	279	279	1	8	417	95	96	.	10.5
61	9	Fa4#4	F4#4	291	291	1	8	417	95	96	.	10.66667
62	9	Sol4	G4	296	296	1	8	417	95	96	.	10.83333
63	9	Fa4#4	F4#4	291	291	1	8	417	95	96	.	11
64	9	Mi4b4	E4b4	279	279	1	8	417	95	96	.	11.16667
65	9	Re4	D4	274	274	1	8	417	95	96	.	11.33333
66	9	Do4#4	C4#4	269	269	1	8	417	95	96	.	11.5
67	9	Mi4b4	E4b4	279	279	1	8	417	95	96	.	11.66667
68	9	Re4	D4	274	274	1	4	833	95	96	.	12
69	9			-1	-1	1	8	417	100	0		12.16667
70	9	La4	A4	305	305	1	8	417	95	96	.	12.33333
71	9	Sol4	G4	296	296	1	8	417	95	96	.	12.5
72	9	La4	A4	305	305	1	8	417	95	96	.	12.66667
73	9	Si4b4	B4b4	310	310	1	8	417	95	96	.	12.83333
74	9	La4	A4	305	305	1	8	417	95	96	.	13
75	9	Sol4	G4	296	296	1	8	417	95	96	.	13.16667
76	9	Sol4	G4	296	296	1	8	417	95	96	.	13.33333
