Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	3	8	1023	99	96		0.0234375
2	9	Si4b1	B4b1	313	313	1	8	341	95	96		0.03125
3	9	Si4b1	B4b1	313	313	1	2	1364	95	96		0.0625
4	8	Do5	C5	318	318	1	8	341	95	96		0.0703125
5	9	Si4b1	B4b1	313	313	3	16	511	99	96		8.203125E-02
6	9	La4	A4	305	305	1	16	170	99	96		0.0859375
7	9	Si4b1	B4b1	313	313	1	8	341	99	96		0.09375
8	9	Do5	C5	318	318	1	8	341	99	96		0.1015625
9	9	Si4b1	B4b1	313	313	1	8	341	99	96		0.109375
10	8	Do5	C5	318	318	1	8	341	99	96		0.1171875
11	9	Do5	C5	318	318	1	8	341	99	96		0.125
12	9	Si4b1	B4b1	313	313	1	8	341	95	96		0.1328125
13	9	La4	A4	305	305	1	8	341	95	96		0.140625
14	9	La4#4	A4#4	309	309	1	8	341	99	96		0.1484375
15	9	Sol4	G4	296	296	1	8	341	99	96		0.15625
16	9	Sol4	G4	296	296	1	8	341	95	96		0.1640625
17	9	Fa4#4	F4#4	291	291	1	8	341	95	96		0.171875
18	9	Sol4	G4	296	296	1	4	682	95	96		0.1875
19	9	La4#4	A4#4	309	309	1	4	682	95	96		0.203125
20	9	Si4b1	B4b1	313	313	1	2	1364	99	96		0.234375
21	9	La4#4	A4#4	309	309	1	8	341	99	96		0.2421875
22	9	Si4b1	B4b1	313	313	1	8	341	99	96		0.25
23	9	Do5	C5	318	318	1	16	170	99	96		0.2539063
24	9	Re5	D5	327	327	1	16	170	99	96		0.2578125
25	9	Do5	C5	318	318	1	16	170	99	96		0.2617188
26	9	Si4b1	B4b1	313	313	1	16	170	99	96		0.265625
27	9	Si4b1	B4b1	313	313	3	8	1023	95	96		0.2890625
28	9			-1	-1	1	8	341	100	0		0.296875
29	9	Re5	D5	327	327	3	16	511	95	96		0.3085938
30	9	Do5	C5	318	318	1	16	170	95	96		0.3125
31	9	Si4b1	B4b1	313	313	1	8	341	95	96		0.3203125
32	9	Do5	C5	318	318	1	8	341	95	96		0.328125
33	9	Re5	D5	327	327	1	2	1364	95	96		0.359375
34	9	Re5	D5	327	327	1	4	682	99	96		0.375
35	9	Do5	C5	318	318	1	8	341	99	96		0.3828125
36	9	Si4b1	B4b1	313	313	1	8	341	95	96		0.390625
37	9	Do5	C5	318	318	1	8	341	95	96		0.3984375
38	9	Re5	D5	327	327	1	8	341	95	96		0.40625
39	9	Do5	C5	318	318	1	8	341	95	96		0.4140625
40	9	Si4b1	B4b1	313	313	1	8	341	95	96		0.421875
41	9	Re5	D5	327	327	1	8	341	95	96		0.4296875
42	9	Fa5#4	F5#4	344	344	1	8	341	95	96		0.4375
43	9	Mi5b1	E5b1	335	335	1	8	341	95	96		0.4453125
44	9	Re5	D5	327	327	1	8	341	95	96		0.453125
45	9	Do5	C5	318	318	1	4	682	99	96		0.46875
46	9	Re5	D5	327	327	1	4	682	99	96		0.484375
47	9	Re5	D5	327	327	1	4	682	95	96		0.5
48	9			-1	-1	1	4	682	100	0		0.515625
49	9	Fa5#4	F5#4	344	344	1	4	682	99	96		0.53125
50	9	Mi5b1	E5b1	335	335	1	8	341	99	96		0.5390625
51	9	Fa5#4	F5#4	344	344	1	8	341	99	96		0.546875
52	9	Sol5	G5	349	349	1	16	170	99	96		0.5507813
53	9	La5	A5	358	358	1	16	170	99	96		0.5546875
54	9	Sol5	G5	349	349	1	8	341	99	96		0.5625
55	9	Fa5#4	F5#4	344	344	1	8	341	99	96		0.5703125
56	9	Mi5b1	E5b1	335	335	1	8	341	99	96		0.578125
57	9	Mi5b1	E5b1	335	335	1	8	341	95	96		0.5859375
58	9	Mi5b1	E5b1	335	335	1	8	341	99	96		0.59375
59	9	Re5	D5	327	327	1	8	341	99	96		0.6015625
60	9	Mi5b1	E5b1	335	335	1	8	341	99	96		0.609375
61	8	Fa5#4	F5#4	344	344	1	8	341	99	96		0.6171875
62	9	Mi5b1	E5b1	335	335	1	8	341	99	96		0.625
63	9	Fa5#4	F5#4	344	344	1	8	341	99	96		0.6328125
64	9	Mi5b1	E5b1	335	335	1	8	341	99	96		0.640625
65	9	Re5	D5	327	327	1	8	341	99	96		0.6484375
66	9	Re5	D5	327	327	1	8	341	95	96		0.65625
67	9	Re5	D5	327	327	1	8	341	99	96		0.6640625
68	9	Do5	C5	318	318	1	8	341	99	96		0.671875
69	9	Re5	D5	327	327	1	8	341	99	96		0.6796875
70	9	Mi5b1	E5b1	335	335	1	4	682	99	96		0.6953125
71	9	Re5	D5	327	327	1	8	341	99	96		0.703125
72	9	Do5	C5	318	318	1	8	341	95	96		0.7109375
73	9	Re5	D5	327	327	1	8	341	99	96		0.71875
74	9	Fa5#4	F5#4	344	344	1	8	341	99	96		0.7265625
75	9	Mi5b1	E5b1	335	335	1	8	341	99	96		0.734375
76	9	Re5	D5	327	327	1	8	341	95	96		0.7421875
77	9	Re5	D5	327	327	1	8	341	99	96		0.75
