Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	625	100	118		0.2
2	9	Si4b1	B4b1	313	313	1	8	312	95	114	SAZ 	0.3
3	9	Re5	D5	327	327	1	4	625	95	104	.	0.5
4	9	Do5	C5	318	318	1	4	625	95	93	.	0.7
5	9	Si4b1	B4b1	313	313	3	8	938	95	82	.	1
6	9	Si4b1	B4b1	313	313	1	4	625	95	72	.	1.2
7	9	Si4b1	B4b1	313	313	3	8	938	95	96	.	1.5
8	9	Do5	C5	318	318	1	8	312	95	96	.	1.6
9	9	Re5	D5	327	327	1	8	312	95	114	.	1.7
10	9	Si4b1	B4b1	313	313	3	8	938	95	100	.	2
11	9			-1	-1	1	4	625	100	86		2.2
12	9	Si4b1	B4b1	313	313	1	8	312	95	114	.	2.3
13	9	Re5	D5	327	327	1	4	625	95	116	.	2.5
14	9	Do5	C5	318	318	1	4	625	95	117	.	2.7
15	9	Si4b1	B4b1	313	313	3	8	938	95	118	.	3
16	9	Si4b1	B4b1	313	313	1	4	625	95	120	.	3.2
17	9	Si4b1	B4b1	313	313	3	8	938	95	96	.	3.5
18	9	Do5	C5	318	318	1	8	312	95	96	.	3.6
19	9	Re5	D5	327	327	1	8	312	95	96	.	3.7
20	9	Si4b1	B4b1	313	313	3	8	938	95	96	.	4
21	9			-1	-1	1	4	625	100	0		4.2
22	9	Si4b1	B4b1	313	313	1	8	312	95	96	Ha	4.3
23	9	Re5	D5	327	327	1	4	625	95	96	vuz 	4.5
24	9	Re5	D5	327	327	3	8	938	95	96	ba	4.8
25	9	Do5	C5	318	318	1	4	625	95	96	þý	5
26	9	Re5	D5	327	327	1	4	625	95	96	nýn 	5.2
27	9	Mi5b1	E5b1	335	335	1	4	625	99	96	gül	5.4
28	9	Re5	D5	327	327	1	8	312	95	96		5.5
29	9	Fa5	F5	340	340	1	4	625	95	96	le	5.7
30	9	Mi5b1	E5b1	335	335	1	4	625	99	96	ri  	5.9
31	9	Re5	D5	327	327	1	8	312	95	96		6
32	9	Re5	D5	327	327	1	4	625	95	96	Ha	6.2
33	9	Re5	D5	327	327	3	8	938	95	96	vuz 	6.5
34	9	Re5	D5	327	327	3	8	938	95	96	ba	6.8
35	9	Do5	C5	318	318	1	4	625	95	96	þý	7
36	9	Re5	D5	327	327	1	4	625	95	96	nýn 	7.2
37	9	Mi5b1	E5b1	335	335	1	4	625	99	96	gül	7.4
38	9	Re5	D5	327	327	1	8	312	95	96		7.5
39	9	Fa5	F5	340	340	1	4	625	95	96	le	7.7
40	9	Mi5b1	E5b1	335	335	1	4	625	99	96	ri  	7.9
41	9	Re5	D5	327	327	1	8	312	95	96		8
42	9	Re5	D5	327	327	1	4	625	95	96	Þak 	8.2
43	9	Re5	D5	327	327	1	8	312	99	96	þak 	8.3
44	9	Mi5b1	E5b1	335	335	1	8	312	99	96		8.4
45	9	Do5	C5	318	318	1	8	312	95	96		8.5
46	9	Do5	C5	318	318	1	4	625	95	96	ö	8.7
47	9	Do5	C5	318	318	1	8	312	99	96	ter 	8.8
48	9	Re5	D5	327	327	1	8	312	99	96		8.9
49	9	Si4b1	B4b1	313	313	1	8	312	95	96		9
50	9	Si4b1	B4b1	313	313	1	4	625	95	96	bül	9.2
51	9	Si4b1	B4b1	313	313	1	16	156	99	96	bül	9.25
