Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	5	8	1705	95	96	ARANAÐME 	0.5
2	9	Si4b1	B4b1	313	313	1	2	1364	95	96	.	0.9
3	9			-1	-1	1	8	341	100	0	.	1
4	9	Do5	C5	318	318	1	8	341	95	96	.	1.1
5	9	Re5	D5	327	327	1	8	341	95	96	.	1.2
6	9	Mi5b4	E5b4	332	332	1	8	341	95	96	.	1.3
7	9	Re5	D5	327	327	1	8	341	95	96	.	1.4
8	9	Do5	C5	318	318	1	8	341	95	96	.	1.5
9	9	Si4b1	B4b1	313	313	1	8	341	95	96	.	1.6
10	9	La4b4	A4b4	301	301	1	8	341	95	96	.	1.7
11	9	Sol4	G4	296	296	3	8	1023	95	96	.	2
12	9	Fa5	F5	340	340	1	8	341	95	96	.	2.1
13	9	Mi5b1	E5b1	335	335	1	8	341	95	96	.	2.2
14	9	Fa5	F5	340	340	1	8	341	95	96	.	2.3
15	9	Sol5	G5	349	349	1	8	341	95	96	.	2.4
16	9	La5b4	A5b4	354	354	1	8	341	95	96	.	2.5
17	9	Sol5	G5	349	349	1	8	341	95	96	.	2.6
18	9	Fa5	F5	340	340	1	8	341	95	96	.	2.7
19	9	Mi5b4	E5b4	332	332	1	4	682	95	96	.	2.9
20	9	Fa5	F5	340	340	1	8	341	95	96	.	3
21	9	Sol5	G5	349	349	1	4	682	95	96	.	3.2
22	9	La5b4	A5b4	354	354	1	8	341	95	96	.	3.3
23	9	Sol5	G5	349	349	1	8	341	95	96	.	3.4
24	9	Fa5	F5	340	340	1	8	341	95	96	.	3.5
25	9	Mi5b4	E5b4	332	332	1	8	341	95	96	.	3.6
26	9	Re5	D5	327	327	1	8	341	95	96	.	3.7
27	9	Do5	C5	318	318	1	8	341	95	96	.	3.8
28	9	Si4b1	B4b1	313	313	1	8	341	95	96	.	3.9
29	9	La4b4	A4b4	301	301	1	8	341	95	96	.	4
30	9	Sol4	G4	296	296	5	8	1705	95	96	.	4.5
31	9	Si4b1	B4b1	313	313	1	2	1364	95	96	.	4.9
