Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	La5	A5	358	358	1	8	312	95	96	ARANAÐME	0.125
2	9	Fa5#3	F5#4	343	344	1	16	156	95	96	.	0.1875
3	9	Sol5	G5	349	349	1	16	156	95	96	.	0.25
4	9	La5	A5	358	358	1	8	312	95	96	.	0.375
5	9	La5	A5	358	358	1	16	156	95	96	.	0.4375
6	9	La5	A5	358	358	1	16	156	95	96	.	0.5
7	9	La5	A5	358	358	1	8	312	95	96	.	0.625
8	9	La5	A5	358	358	1	16	156	95	96	.	0.6875
9	9	La5	A5	358	358	1	16	156	95	96	.	0.75
10	9	La5	A5	358	358	1	8	312	95	96	.	0.875
11	9	La5	A5	358	358	1	16	156	95	96	.	0.9375
12	9	La5	A5	358	358	1	16	156	95	96	.	1
13	12	Sol5	G5	349	349	1	8	312	95	96	.	1.125
14	9	Fa5#3	F5#4	343	344	1	16	156	95	96	.	1.1875
15	9	Sol5	G5	349	349	1	16	156	95	96	.	1.25
16	9	La5	A5	358	358	1	8	312	95	96	.	1.375
17	9	La5	A5	358	358	1	16	156	95	96	.	1.4375
18	9	La5	A5	358	358	1	16	156	95	96	.	1.5
19	12	Sol5	G5	349	349	1	8	312	95	96	.	1.625
20	9	Fa5#3	F5#4	343	344	1	16	156	95	96	.	1.6875
21	9	Sol5	G5	349	349	1	16	156	95	96	.	1.75
22	9	Mi5	E5	336	336	1	8	312	95	96	.	1.875
23	9	Re5	D5	327	327	1	8	312	95	96	.	2
24	9	Re5	D5	327	327	1	16	156	95	96	.	2.0625
25	9	Do5	C5	318	318	1	16	156	95	96	.	2.125
26	9	Re5	D5	327	327	1	16	156	95	96	.	2.1875
27	9	Mi5	E5	336	336	1	16	156	95	96	.	2.25
28	9	Re5	D5	327	327	1	8	312	95	96	.	2.375
29	9	Do5	C5	318	318	1	8	312	95	96	.	2.5
30	9	Re5	D5	327	327	1	4	625	95	96	.	2.75
31	9	Mi5	E5	336	336	1	4	625	95	96	.	3
32	9	Do5	C5	318	318	1	16	156	95	96	.	3.0625
33	9	Si4b2	B4b1	312	313	1	16	156	95	96	.	3.125
34	9	Do5	C5	318	318	1	16	156	95	96	.	3.1875
35	9	Re5	D5	327	327	1	16	156	95	96	.	3.25
36	9	Do5	C5	318	318	1	8	312	95	96	.	3.375
37	9	Si4b2	B4b1	312	313	1	8	312	95	96	.	3.5
38	9	Do5	C5	318	318	1	4	625	95	96	.	3.75
39	9	Re5	D5	327	327	1	4	625	95	96	.	4
