Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La5	A5	358	358	1	4	1071	95	96	1. HANE 	0.2
2	9	La5	A5	358	358	1	8	536	95	96		0.3
3	9	La5	A5	358	358	1	16	268	95	96		0.35
4	9	Si5b2	B5b1	365	366	1	16	268	95	96		0.4
5	9	Do6	C6	371	371	1	16	268	95	96		0.45
6	9	Si5b2	B5b1	365	366	1	16	268	95	96		0.5
7	9	La5	A5	358	358	1	8	536	95	96		0.6
8	9	Sol5	G5	349	349	1	16	268	95	96		0.65
9	9	Fa5#3	F5#4	343	344	1	16	268	95	96		0.7
10	9	La5	A5	358	358	1	16	268	95	96		0.75
11	9	Sol5	G5	349	349	1	16	268	95	96		0.8
12	9	Fa5#3	F5#4	343	344	1	16	268	95	96		0.85
13	9	Mi5	E5	336	336	1	16	268	95	66		0.9
14	9	Re5	D5	327	327	1	8	536	95	68		1
15	9	Fa5#3	F5#4	343	344	1	16	268	95	70		1.05
16	9	Sol5	G5	349	349	1	16	268	95	72		1.1
17	9	Fa5#3	F5#4	343	344	1	8	536	95	74		1.2
18	9	Mi5	E5	336	336	1	8	536	95	76		1.3
19	9	Fa5#3	F5#4	343	344	1	16	268	95	78		1.35
20	9	Sol5	G5	349	349	1	16	268	95	96		1.4
21	9	Fa5#3	F5#4	343	344	1	8	536	95	96		1.5
22	9	Sol5	G5	349	349	1	16	268	95	96		1.55
23	9	La5	A5	358	358	1	16	268	95	96		1.6
24	9	Sol5	G5	349	349	1	8	536	95	66		1.7
25	9	La5	A5	358	358	1	4	1071	95	84		1.9
26	9			-1	-1	1	8	536	100	102		2
27	9	Do6	C6	371	371	1	4	1071	95	120		2.2
28	9	Do6	C6	371	371	1	16	268	95	96		2.25
29	9	Si5b2	B5b1	365	366	1	16	268	95	96		2.3
30	9	Si5b2	B5b1	365	366	1	8	536	95	96		2.4
31	9	La5	A5	358	358	1	8	536	95	96		2.5
32	9	La5	A5	358	358	1	8	536	95	96		2.6
33	9	La5	A5	358	358	1	16	268	95	96		2.65
34	9	Si5b2	B5b1	365	366	1	16	268	95	96		2.7
35	9	La5	A5	358	358	1	16	268	95	96		2.75
36	9	Sol5	G5	349	349	1	16	268	95	96		2.8
37	9	Fa5#3	F5#4	343	344	1	16	268	95	96		2.85
