Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	435	100	0		0.1111111
2	9	Sol4	G4	296	296	1	4	870	99	96	Dû	0.3333333
3	9	La4	A4	305	305	1	8	435	95	96		0.4444444
4	9	La4	A4	305	305	1	2	1740	95	96	çâr_	0.8888889
5	9	Si4b2	B4b1	312	313	1	8	435	95	96	ý 	1
6	9	Sol4	G4	296	296	1	8	435	99	96	hicr_	1.111111
7	9	Re5	D5	327	327	1	8	435	99	96		1.222222
8	9	Do5	C5	318	318	1	8	435	99	96		1.333333
9	9	Si4b2	B4b1	312	313	1	8	435	95	96		1.444444
10	9	La4	A4	305	305	1	8	435	99	96	i 	1.555556
11	9	Sol4	G4	296	296	1	8	435	99	96		1.666667
12	9	Re5	D5	327	327	1	4	870	99	96		1.888889
13	9	Si4b2	B4b1	312	313	1	8	435	95	96		2
14	9	Do5	C5	318	318	3	16	652	99	96	yâr_	2.166667
15	9	Si4b2	B4b1	312	313	1	16	217	95	96		2.222222
16	9	Si4b2	B4b1	312	313	1	8	435	95	96	o	2.333333
17	9	Si4b2	B4b1	312	313	1	16	217	99	96	la	2.388889
18	9	La4	A4	305	305	1	16	217	95	96		2.444444
19	9	La4	A4	305	305	5	8	2174	95	96	lý 	3
20	9	La4	A4	305	305	1	8	435	99	96	dî	3.111111
21	9	Sol5	G5	349	349	1	8	435	99	96		3.222222
22	9	Fa5	F5	340	340	1	8	435	99	96		3.333333
23	9	Mi5	E5	336	336	1	8	435	99	96		3.444444
24	9	Re5	D5	327	327	1	8	435	99	96		3.555556
25	9	Sol5	G5	349	349	1	8	435	99	96		3.666667
26	9	Fa5	F5	340	340	1	8	435	99	96		3.777778
27	9	Mi5	E5	336	336	1	8	435	99	96		3.888889
28	9	Re5	D5	327	327	1	8	435	95	96		4
29	9	Do5	C5	318	318	3	16	652	99	96	dem_	4.166667
30	9	Si4b2	B4b1	312	313	1	16	217	99	96		4.222222
31	9	La4	A4	305	305	1	4	870	95	96		4.444445
32	9	Mi5	E5	336	336	1	8	435	99	96	að	4.555555
33	9	Fa5	F5	340	340	1	8	435	99	96		4.666667
34	9	Sol5	G5	349	349	1	8	435	99	96		4.777778
35	9	Mi5	E5	336	336	1	8	435	95	96		4.888889
36	9	Mi5	E5	336	336	1	16	217	99	96	lý	4.944445
37	9	Re5	D5	327	327	1	16	217	95	96		5
38	9	Re5	D5	327	327	3	8	1304	95	96	yor  	5.333333
39	9	Si4b2	B4b1	312	313	1	8	435	95	96	SAZ	5.444445
40	9	Do5	C5	318	318	1	8	435	95	96	.	5.555555
41	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	5.611111
42	9	La4	A4	305	305	1	16	217	95	96	.	5.666667
43	9	La4	A4	305	305	3	8	1304	95	96	.	6
44	52			0	0	1	8	0	127	11		6.111111
45	9			-1	-1	1	8	435	100	0		6.222222
46	9	Sol4	G4	296	296	1	4	870	99	96	Dû	6.444445
47	9	La4	A4	305	305	1	8	435	95	96		6.555555
48	9	La4	A4	305	305	1	2	1740	95	96	çâr_	7
49	9	Si4b2	B4b1	312	313	1	8	435	95	96	ý 	7.111111
50	9	Sol4	G4	296	296	1	8	435	99	96	hicr_	7.222222
51	9	Re5	D5	327	327	1	8	435	99	96		7.333333
52	9	Do5	C5	318	318	1	8	435	99	96		7.444445
53	9	Si4b2	B4b1	312	313	1	8	435	95	96		7.555555
54	9	La4	A4	305	305	1	8	435	99	96	i 	7.666667
55	9	Sol4	G4	296	296	1	8	435	99	96		7.777778
56	9	Re5	D5	327	327	1	4	870	99	96		8
57	9	Si4b2	B4b1	312	313	1	8	435	95	96		8.111111
58	9	Do5	C5	318	318	3	16	652	99	96	yâr_	8.277778
59	9	Si4b2	B4b1	312	313	1	16	217	95	96		8.333333
60	9	Si4b2	B4b1	312	313	1	8	435	95	96	o	8.444445
61	9	Si4b2	B4b1	312	313	1	16	217	99	96	la	8.5
62	9	La4	A4	305	305	1	16	217	95	96		8.555555
63	9	La4	A4	305	305	5	8	2174	95	96	lý 	9.111111
64	9	La4	A4	305	305	1	8	435	99	96	dî	9.222222
65	9	Sol5	G5	349	349	1	8	435	99	96		9.333333
66	9	Fa5	F5	340	340	1	8	435	99	96		9.444445
67	9	Mi5	E5	336	336	1	8	435	99	96		9.555555
68	9	Re5	D5	327	327	1	8	435	99	96		9.666667
69	9	Sol5	G5	349	349	1	8	435	99	96		9.777778
70	9	Fa5	F5	340	340	1	8	435	99	96		9.888889
71	9	Mi5	E5	336	336	1	8	435	99	96		10
72	9	Re5	D5	327	327	1	8	435	95	96		10.11111
73	9	Do5	C5	318	318	3	16	652	99	96	dem_	10.27778
74	9	Si4b2	B4b1	312	313	1	16	217	99	96		10.33333
75	9	La4	A4	305	305	1	4	870	95	96		10.55556
76	9	Mi5	E5	336	336	1	8	435	99	96	að	10.66667
77	9	Fa5	F5	340	340	1	8	435	99	96		10.77778
78	9	Sol5	G5	349	349	1	8	435	99	96		10.88889
79	9	Mi5	E5	336	336	1	8	435	95	96		11
80	9	Mi5	E5	336	336	1	16	217	99	96	lý	11.05556
81	9	Re5	D5	327	327	1	16	217	95	96		11.11111
82	9	Re5	D5	327	327	3	8	1304	95	96	yor  	11.44444
83	9	Mi5	E5	336	336	1	16	217	95	96	SAZ	11.5
84	9	Fa5	F5	340	340	1	16	217	95	96	.	11.55556
85	9	Mi5	E5	336	336	1	16	217	95	96	.	11.61111
86	9	Re5	D5	327	327	1	16	217	95	96	.	11.66667
87	9	Re5	D5	327	327	1	16	217	95	96	.	11.72222
88	9	Do5	C5	318	318	1	16	217	95	96	.	11.77778
89	9	Re5	D5	327	327	3	8	1304	95	96	.	12.11111
90	9			-1	-1	1	8	435	100	0		12.22222
91	9	Re5	D5	327	327	1	4	870	99	96	Dî	12.44444
92	9	Mi5	E5	336	336	1	8	435	95	96		12.55556
93	9	Mi5	E5	336	336	1	4	870	99	96	dem	12.77778
94	9	Mi5	E5	336	336	1	8	435	99	96		12.88889
95	9	Re5	D5	327	327	1	8	435	99	96		13
96	9	Do5	C5	318	318	1	8	435	95	96		13.11111
97	9	Re5	D5	327	327	1	8	435	95	96	le 	13.22222
98	9	Mi5b4	E5b4	332	332	1	8	435	99	96	müþ	13.33333
99	9	Re5	D5	327	327	1	8	435	99	96		13.44444
100	9	Sol5	G5	349	349	1	8	435	95	96		13.55556
101	9	Fa5#4	F5#4	344	344	1	8	435	99	96	te	13.66667
102	9	Mi5b4	E5b4	332	332	1	8	435	95	96		13.77778
103	9	Re5	D5	327	327	1	4	870	99	96	rek 	14
104	9	Si4b2	B4b1	312	313	1	8	435	99	96		14.11111
105	9	Do5	C5	318	318	3	16	652	99	96		14.27778
106	9	Si4b2	B4b1	312	313	1	16	217	95	96		14.33333
107	9	Si4b2	B4b1	312	313	1	8	435	95	96	dil_	14.44444
108	9	Si4b2	B4b1	312	313	1	16	217	99	96	i 	14.5
109	9	La4	A4	305	305	1	16	217	95	96		14.55556
110	9	La4	A4	305	305	5	8	2174	95	96	gam 	15.11111
111	9	Sol4	G4	296	296	1	8	435	99	96	dî	15.22222
112	9	Re5	D5	327	327	1	8	435	99	96		15.33333
113	9	Do5	C5	318	318	1	8	435	99	96		15.44444
114	9	Si4b2	B4b1	312	313	1	8	435	99	96		15.55556
115	9	La4	A4	305	305	1	8	435	99	96		15.66667
116	9	Re5	D5	327	327	1	8	435	99	96		15.77778
117	9	Do5	C5	318	318	1	8	435	99	96		15.88889
118	9	Si4b2	B4b1	312	313	1	8	435	99	96		16
119	9	La4	A4	305	305	1	8	435	95	96		16.11111
120	9	Sol4	G4	296	296	1	2	1740	95	96	dem_	16.55556
121	9	La4	A4	305	305	1	8	435	99	96	að	16.66667
122	9	Si4b2	B4b1	312	313	1	8	435	99	96		16.77778
123	9	Do5	C5	318	318	3	16	652	99	96		16.94444
124	9	Si4b2	B4b1	312	313	1	16	217	95	96		17
125	9	Si4b2	B4b1	312	313	1	16	217	99	96	lý	17.05556
126	9	La4	A4	305	305	1	16	217	95	96		17.11111
127	9	La4	A4	305	305	3	8	1304	95	96	yor  	17.44444
128	9	Mi5	E5	336	336	1	16	217	95	96	SAZ	17.5
129	9	Fa5	F5	340	340	1	16	217	95	96	.	17.55556
130	9	Mi5	E5	336	336	1	16	217	95	96	.	17.61111
131	9	Re5	D5	327	327	1	16	217	95	96	.	17.66667
132	9	Re5	D5	327	327	1	16	217	95	96	.	17.72222
133	9	Do5	C5	318	318	1	16	217	95	96	.	17.77778
134	9	Re5	D5	327	327	3	8	1304	95	96	.	18.11111
