Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	588	100	0		0.1111111
2	9	Sol4	G4	296	296	1	4	1176	95	96		0.3333333
3	9	La4	A4	305	305	1	8	588	95	96		0.4444444
4	9	La4	A4	305	305	1	4	1176	95	96		0.6666667
5	9	La4	A4	305	305	3	8	1765	95	96		1
6	9	La4	A4	305	305	1	8	588	95	96		1.111111
7	9	Do5	C5	318	318	1	8	588	95	96		1.222222
8	9	Si4b2	B4b1	312	313	1	8	588	95	96		1.333333
9	9	La4	A4	305	305	1	8	588	95	96		1.444444
10	9	Sol4	G4	296	296	1	8	588	95	96		1.555556
11	9	Fa4#3	F4#4	290	291	1	8	588	95	96		1.666667
12	9	Mi4	E4	283	283	1	4	1176	95	96		1.888889
13	9	Re4	D4	274	274	1	8	588	95	96		2
14	9			-1	-1	1	8	588	100	0		2.111111
15	9	Sol4	G4	296	296	1	8	588	95	96		2.222222
16	9	Fa4#3	F4#4	290	291	1	8	588	95	96		2.333333
17	9	Mi4	E4	283	283	1	8	588	95	96		2.444444
18	9	Fa4#3	F4#4	290	291	1	8	588	95	96		2.555556
19	9	Sol4	G4	296	296	1	8	588	95	96		2.666667
20	9	La4	A4	305	305	3	8	1765	95	96		3
21	9	La4	A4	305	305	1	8	588	95	96		3.111111
22	9	Mi4	E4	283	283	1	4	1176	95	96		3.333333
23	9	Re4	D4	274	274	1	8	588	95	96		3.444444
24	9	La4	A4	305	305	1	16	294	95	96		3.5
25	9	Sol4	G4	296	296	1	16	294	95	96		3.555556
26	9	Fa4#3	F4#4	290	291	1	16	294	95	96		3.611111
27	9	Sol4	G4	296	296	1	16	294	95	96		3.666667
28	9	La4	A4	305	305	3	8	1765	95	96		4
29	9			-1	-1	1	8	588	100	0		4.111111
30	9	Sol4	G4	296	296	1	4	1176	95	96		4.333333
31	9	La4	A4	305	305	1	8	588	95	96		4.444445
32	9	La4	A4	305	305	1	4	1176	95	96		4.666667
33	9	La4	A4	305	305	3	8	1765	95	96		5
34	9	La4	A4	305	305	1	8	588	95	96		5.111111
35	9	Do5	C5	318	318	1	8	588	95	96		5.222222
36	9	Si4b2	B4b1	312	313	1	8	588	95	96		5.333333
37	9	La4	A4	305	305	1	8	588	95	96		5.444445
38	9	Sol4	G4	296	296	1	8	588	95	96		5.555555
39	9	Fa4#3	F4#4	290	291	1	8	588	95	96		5.666667
40	9	Mi4	E4	283	283	1	4	1176	95	96		5.888889
41	9	Re4	D4	274	274	1	8	588	95	96		6
42	9			-1	-1	1	8	588	100	0		6.111111
43	9	Sol4	G4	296	296	1	8	588	95	96		6.222222
44	9	Fa4#3	F4#4	290	291	1	8	588	95	96		6.333333
45	9	Mi4	E4	283	283	1	8	588	95	96		6.444445
46	9	Fa4#3	F4#4	290	291	1	8	588	95	96		6.555555
47	9	Sol4	G4	296	296	1	8	588	95	96		6.666667
48	9	La4	A4	305	305	3	8	1765	95	96		7
49	9	La4	A4	305	305	1	8	588	95	96		7.111111
50	9	Mi4	E4	283	283	1	4	1176	95	96		7.333333
51	9	Re4	D4	274	274	1	8	588	95	96		7.444445
52	9	La4	A4	305	305	1	16	294	95	96		7.5
53	9	Sol4	G4	296	296	1	16	294	95	96		7.555555
54	9	Fa4#3	F4#4	290	291	1	16	294	95	96		7.611111
55	9	Sol4	G4	296	296	1	16	294	95	96		7.666667
56	9	La4	A4	305	305	3	8	1765	95	96		8
57	9			-1	-1	1	8	588	100	0		8.111111
58	9	Do5	C5	318	318	1	16	294	95	96		8.166667
59	9	Si4b2	B4b1	312	313	1	16	294	95	96		8.222222
60	9	Do5	C5	318	318	1	8	588	95	96		8.333333
61	9	Re5	D5	327	327	1	8	588	95	96		8.444445
62	9	Do5	C5	318	318	1	8	588	95	96		8.555555
63	9	Si4b2	B4b1	312	313	1	8	588	95	96		8.666667
64	9	La4	A4	305	305	1	4	1176	95	96		8.888889
65	9	Si4b2	B4b1	312	313	1	8	588	95	96		9
66	9	Sol4	G4	296	296	1	4	1176	95	96		9.222222
67	9	Fa5	F5	340	340	1	8	588	95	96		9.333333
68	9	Fa5	F5	340	340	1	8	588	95	96		9.444445
69	9	Mi5	E5	336	336	1	8	588	95	96		9.555555
70	9	Re5	D5	327	327	1	8	588	95	96		9.666667
71	9	Do5	C5	318	318	1	8	588	95	96		9.777778
72	9	Si4b2	B4b1	312	313	1	16	294	95	96		9.833333
73	9	La4	A4	305	305	1	16	294	95	96		9.888889
74	9	Sol4	G4	296	296	1	8	588	95	96		10
75	9			-1	-1	1	8	588	100	0		10.11111
76	9	Do5	C5	318	318	1	4	1176	95	96		10.33333
77	9	Si4b2	B4b1	312	313	1	8	588	95	96		10.44444
78	9	La4	A4	305	305	1	8	588	95	96		10.55556
