Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	385	100	0		0.125
2	9	Fa5	F5	340	340	1	8	385	95	96	ARANAÐME 	0.25
3	9	Mi5	E5	336	336	1	8	385	95	96	.	0.375
4	9	Fa5	F5	340	340	1	8	385	95	96	.	0.5
5	9	Mi5	E5	336	336	1	4	769	95	96	.	0.75
6	9	Re5	D5	327	327	1	8	385	95	96	.	0.875
7	9	Do5	C5	318	318	1	8	385	95	96	.	1
8	9			-1	-1	1	8	385	100	0	.	1.125
9	9	Mi5	E5	336	336	1	8	385	95	96	.	1.25
10	9	Re5	D5	327	327	1	8	385	95	96	.	1.375
11	9	Mi5	E5	336	336	1	8	385	95	96	.	1.5
12	9	Re5	D5	327	327	1	4	769	95	96	.	1.75
13	9	Do5	C5	318	318	1	8	385	95	96	.	1.875
14	9	Si4b2	B4b1	312	313	1	8	385	95	96	.	2
15	9			-1	-1	1	8	385	100	0	.	2.125
16	9	Re5	D5	327	327	1	8	385	95	96	.	2.25
17	9	Do5	C5	318	318	1	8	385	95	96	.	2.375
18	9	Re5	D5	327	327	1	8	385	95	96	.	2.5
19	9	Do5	C5	318	318	1	4	769	95	96	.	2.75
20	9	Si4b2	B4b1	312	313	1	8	385	95	96	.	2.875
21	9	La4	A4	305	305	1	8	385	95	96	.	3
22	9	Do5	C5	318	318	1	8	385	95	96	.	3.125
23	9	Re5	D5	327	327	1	16	192	95	96	.	3.1875
24	9	Do5	C5	318	318	1	16	192	95	96	.	3.25
25	9	Si4b2	B4b1	312	313	1	8	385	95	96	.	3.375
26	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	3.4375
27	9	La4	A4	305	305	1	16	192	95	96	.	3.5
28	9	La4	A4	305	305	1	16	192	95	96	.	3.5625
29	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	3.625
30	9	Do5	C5	318	318	1	16	192	95	96	.	3.6875
31	9	Re5	D5	327	327	1	16	192	95	96	.	3.75
32	9	Mi5	E5	336	336	1	16	192	95	96	.	3.8125
33	9	Re5	D5	327	327	1	16	192	95	96	.	3.875
34	9	Mi5	E5	336	336	1	8	385	95	96	.	4
35	52			0	0	1	8	0	127	29		4.125
36	9			-1	-1	1	8	385	100	0		4.25
37	9	Fa5	F5	340	340	1	8	385	95	96	ARANAÐME 	4.375
38	9	Mi5	E5	336	336	1	8	385	95	96	.	4.5
39	9	Fa5	F5	340	340	1	8	385	95	96	.	4.625
40	9	Mi5	E5	336	336	1	4	769	95	96	.	4.875
41	9	Re5	D5	327	327	1	8	385	95	96	.	5
42	9	Do5	C5	318	318	1	8	385	95	96	.	5.125
43	9			-1	-1	1	8	385	100	0	.	5.25
44	9	Mi5	E5	336	336	1	8	385	95	96	.	5.375
45	9	Re5	D5	327	327	1	8	385	95	96	.	5.5
46	9	Mi5	E5	336	336	1	8	385	95	96	.	5.625
47	9	Re5	D5	327	327	1	4	769	95	96	.	5.875
48	9	Do5	C5	318	318	1	8	385	95	96	.	6
49	9	Si4b2	B4b1	312	313	1	8	385	95	96	.	6.125
50	9			-1	-1	1	8	385	100	0	.	6.25
51	9	Re5	D5	327	327	1	8	385	95	96	.	6.375
52	9	Do5	C5	318	318	1	8	385	95	96	.	6.5
53	9	Re5	D5	327	327	1	8	385	95	96	.	6.625
54	9	Do5	C5	318	318	1	4	769	95	96	.	6.875
55	9	Si4b2	B4b1	312	313	1	8	385	95	96	.	7
56	9	La4	A4	305	305	1	8	385	95	96	.	7.125
57	9	Do5	C5	318	318	1	8	385	95	96	.	7.25
58	9	Re5	D5	327	327	1	16	192	95	96	.	7.3125
59	9	Do5	C5	318	318	1	16	192	95	96	.	7.375
60	9	Si4b2	B4b1	312	313	1	8	385	95	96	.	7.5
61	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	7.5625
62	9	La4	A4	305	305	1	16	192	95	96	.	7.625
63	9	La4	A4	305	305	1	4	769	95	96	.	7.875
64	9	Sol4	G4	296	296	1	16	192	95	96	.	7.9375
65	9	La4	A4	305	305	1	16	192	95	96	.	8
66	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	8.0625
67	9	Do5	C5	318	318	1	16	192	95	96	.  	8.125
68	9	Re5	D5	327	327	1	8	385	95	96	.	8.25
69	9	Re5	D5	327	327	1	4	769	95	96	Gün 	8.5
70	9	Si4b2	B4b1	312	313	1	8	385	95	96	ge	8.625
71	9	Do5	C5	318	318	3	16	577	99	96	lir 	8.8125
72	9	Re5	D5	327	327	1	16	192	95	96		8.875
73	9	Do5	C5	318	318	1	16	192	99	96	de 	8.9375
74	9	Si4b2	B4b1	312	313	1	16	192	95	96		9
75	9	Si4b2	B4b1	312	313	1	16	192	99	96	be	9.0625
76	9	La4	A4	305	305	1	16	192	95	96		9.125
77	9	La4	A4	305	305	3	8	1154	99	96	ni 	9.5
78	9	La4	A4	305	305	1	16	192	99	96	SAZ	9.5625
79	9	Si4b2	B4b1	312	313	1	16	192	99	96	.	9.625
80	9	Do5	C5	318	318	1	16	192	99	96	.	9.6875
81	9	Si4b2	B4b1	312	313	1	16	192	99	96	.	9.75
82	9	La4	A4	305	305	1	16	192	99	96	.	9.8125
83	9	Si4b2	B4b1	312	313	1	16	192	99	96	.	9.875
84	9	La4	A4	305	305	1	4	769	95	96	.	10.125
85	9	Do5	C5	318	318	1	8	385	95	96	u	10.25
86	9	Re5	D5	327	327	1	8	385	95	96	nu	10.375
87	9	Mi5	E5	336	336	1	4	769	95	96	tur	10.625
88	9	Re5	D5	327	327	1	4	769	99	96	sun 	10.875
89	9	Do5	C5	318	318	1	4	769	95	96		11.125
90	9	Si4b2	B4b1	312	313	1	8	385	95	96	u	11.25
91	9	Do5	C5	318	318	1	8	385	95	96	nu	11.375
92	9	Re5	D5	327	327	1	4	769	95	96	tur	11.625
93	9	Do5	C5	318	318	1	4	769	99	96	sun 	11.875
94	9	Si4b2	B4b1	312	313	1	8	385	99	96		12
95	9	La4	A4	305	305	1	8	385	95	96		12.125
96	9	Do5	C5	318	318	1	8	385	95	96	de	12.25
97	9	Re5	D5	327	327	1	16	192	99	96	miþ	12.3125
98	9	Do5	C5	318	318	1	16	192	99	96		12.375
99	9	Si4b2	B4b1	312	313	1	8	385	99	96		12.5
100	9	Si4b2	B4b1	312	313	1	16	192	99	96		12.5625
101	9	La4	A4	305	305	1	16	192	95	96		12.625
102	9	La4	A4	305	305	1	4	769	95	96	tin  	12.875
103	9	Mi5	E5	336	336	1	16	192	95	96	SAZ	12.9375
104	9	Re5	D5	327	327	1	16	192	95	96	.	13
105	9	Mi5	E5	336	336	1	8	385	95	96	.	13.125
106	9			-1	-1	1	8	385	100	0		13.25
107	9	Mi5	E5	336	336	1	4	769	99	96	Kal	13.5
108	9	Re5	D5	327	327	1	8	385	95	96		13.625
109	9	Re5	D5	327	327	1	8	385	99	96	bin	13.75
110	9	Do5	C5	318	318	1	8	385	95	96		13.875
111	9	Do5	C5	318	318	1	8	385	95	96	de	14
112	9	Si4b2	B4b1	312	313	1	8	385	95	96	ki 	14.125
113	9	Si4b2	B4b1	312	313	1	8	385	95	96	bu 	14.25
114	9	Do5	C5	318	318	1	4	769	99	96	der	14.5
115	9	Si4b2	B4b1	312	313	1	16	192	99	96		14.5625
116	9	La4	A4	305	305	1	16	192	95	96		14.625
117	9	Si4b2	B4b1	312	313	1	8	385	99	96	di 	14.75
118	9	Do5	C5	318	318	1	8	385	99	96		14.875
119	9	Re5	D5	327	327	1	4	769	95	96		15.125
120	9	Do5	C5	318	318	1	8	385	95	96	u	15.25
121	9	Re5	D5	327	327	1	8	385	95	96	yu	15.375
122	9	Mi5	E5	336	336	1	4	769	95	96	tur	15.625
123	9	Re5	D5	327	327	1	4	769	99	96	sun 	15.875
124	9	Do5	C5	318	318	1	4	769	95	96		16.125
125	9	Si4b2	B4b1	312	313	1	8	385	95	96	u	16.25
126	9	Do5	C5	318	318	1	8	385	95	96	yu	16.375
127	9	Re5	D5	327	327	1	4	769	95	96	tur	16.625
128	9	Do5	C5	318	318	1	4	769	99	96	sun 	16.875
129	9	Si4b2	B4b1	312	313	1	8	385	99	96		17
130	9	La4	A4	305	305	1	8	385	95	96		17.125
131	9	Do5	C5	318	318	1	8	385	95	96	de	17.25
132	9	Re5	D5	327	327	1	16	192	99	96	miþ	17.3125
133	9	Do5	C5	318	318	1	16	192	99	96		17.375
134	9	Si4b2	B4b1	312	313	1	8	385	99	96		17.5
135	9	Si4b2	B4b1	312	313	1	16	192	99	96		17.5625
136	9	La4	A4	305	305	1	16	192	95	96		17.625
137	9	La4	A4	305	305	1	2	1538	95	96	tin  	18.125
138	9	Mi5	E5	336	336	1	8	385	95	96	Ne 	18.25
139	9	Fa5	F5	340	340	1	4	769	99	96	ben 	18.5
140	9	Mi5	E5	336	336	1	8	385	95	96		18.625
141	9	La5	A5	358	358	1	16	192	99	96	se	18.6875
